Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Pablo,2000193992.0,11.1,9.6,10.3,10.6,11.2,9.4,10.2,11.0
Óscar Gil,67227188.0,11.0,11.3,13.1,12.8,12.45,11.45,11.05,13.35
Alejandro Francés,67281886.0,13.45,12.85,14.05,13.4,13.45,12.4,12.55,14.2
Arkadiusz Marciniak,2000232548.0,11.4,10.55,14.25,11.4,11.75,10.85,11.1,13.0
Alejandro Balde,67296654.0,11.95,12.25,11.85,12.6,12.0,12.6,13.3,12.0
Ismaïla Sarr,48042766.0,11.4,11.7,10.55,11.8,11.6,12.7,12.9,10.65
Francho,67278162.0,13.7,13.2,13.6,13.9,13.7,12.85,13.35,13.95
Dídac,2000437768.0,13.1,12.3,12.6,13.7,13.4,12.7,13.6,12.7
Ruben Vargas,98041215.0,12.25,12.75,11.85,12.85,12.75,14.0,14.0,11.95
Jorge Cañadas,2000511078.0,12.1,12.2,10.4,13.15,12.9,13.3,14.25,11.55
Fernando Silva,2000439540.0,12.15,12.05,11.2,13.6,13.1,13.55,14.55,11.85
Martín Merino,2000201919.0,9.1,8.2,7.5,6.55,7.75,8.0,8.9,7.55
Eric Kahl,93142833.0,13.05,12.8,12.75,13.1,13.05,12.85,12.9,12.9
Renato Adriano,2000411533.0,14.45,13.25,12.2,14.1,14.55,13.85,14.0,13.7
Luis Carbonell,95078291.0,12.6,12.35,10.7,12.35,12.35,13.5,13.75,11.25
Javi Mas,2000511079.0,13.75,13.35,11.9,13.3,13.65,14.05,14.7,12.8
Quique Clemente,67246261.0,14.7,13.55,13.35,13.2,13.75,13.75,13.4,13.9
Jesus Carrasco,2000439537.0,10.3,10.1,9.0,10.9,11.0,11.7,12.0,9.6
Malcom,19229435.0,13.4,13.8,9.6,13.0,13.0,15.0,15.3,11.1
Carles Aleñá,67213011.0,13.9,13.55,11.05,13.05,13.5,14.0,13.75,12.15
Marvin,67277459.0,10.5,10.4,9.3,10.15,10.5,11.2,11.55,9.65
Ander Imaz,2000439533.0,9.55,10.55,8.35,11.5,11.0,12.0,12.8,10.0
Francisco Jesús,2000511084.0,12.6,11.7,12.1,11.7,11.85,11.55,12.05,12.25
Vladimir Moldovan,2000570460.0,13.35,13.05,12.2,14.15,14.0,12.95,13.85,13.85
Jorge Tato,2000571897.0,10.15,9.55,9.8,11.5,11.1,10.9,11.65,10.4
