Player,UID,Position
Pablo,2000193992,GK
Óscar Gil,67227188,D (RL)
Alejandro Francés,67281886,D (RLC)
Arkadiusz Marciniak,2000232548,D (C)
Alejandro Balde,67296654,"D/WB (L), M (RL), AM (L)"
Ismaïla Sarr,48042766,"M (R), AM (RL), ST (C)"
Francho,67278162,"DM, M (C)"
Dídac,2000437768,"DM, M/AM (C), ST (C)"
Ruben Vargas,98041215,M/AM (RL)
Jorge Cañadas,2000511078,"AM (C), ST (C)"
Fernando Silva,2000439540,"M/AM (R), ST (C)"
Martín Merino,2000201919,GK
Eric Kahl,93142833,D/WB/M (L)
Renato Adriano,2000411533,M (C)
Luis Carbonell,95078291,"M (L), AM (RL), ST (C)"
Javi Mas,2000511079,"M (C), AM (RC)"
Quique Clemente,67246261,D (C)
Jesus Carrasco,2000439537,"M (L), AM (LC), ST (C)"
Malcom,19229435,"M (RL), AM (RLC)"
Carles Aleñá,67213011,M/AM (C)
Marvin,67277459,"D/WB (R), M (RL), AM (R)"
Ander Imaz,2000439533,"M/AM (L), ST (C)"
Francisco Jesús,2000511084,"D (RLC), WB (R), DM"
Vladimir Moldovan,2000570460,M/AM (C)
Jorge Tato,2000571897,"AM (R), ST (C)"
