Player,UID,WM,W,DW,IW,IF,WG
Pablo,2000193992.0,7.9,8.1,8.9,9.3,8.6,8.17
Óscar Gil,67227188.0,12.95,13.4,13.4,11.6,11.2,12.58
Alejandro Francés,67281886.0,12.6,12.7,13.9,12.75,12.3,12.67
Arkadiusz Marciniak,2000232548.0,11.0,11.2,12.75,10.65,9.95,11.75
Alejandro Balde,67296654.0,12.4,13.5,12.0,12.65,12.6,12.75
Ismaïla Sarr,48042766.0,11.35,13.2,10.05,12.6,12.9,12.25
Francho,67278162.0,13.05,12.85,13.4,13.8,13.45,12.29
Dídac,2000437768.0,12.5,12.5,11.0,14.2,14.1,12.5
Ruben Vargas,98041215.0,13.1,13.8,11.35,13.55,13.35,13.08
Jorge Cañadas,2000511078.0,12.0,14.0,10.4,14.05,14.25,13.92
Fernando Silva,2000439540.0,12.65,15.7,10.35,13.75,14.0,14.75
Martín Merino,2000201919.0,4.7,4.75,6.25,6.8,5.65,5.38
Eric Kahl,93142833.0,12.4,12.65,12.6,13.0,12.45,12.21
Renato Adriano,2000411533.0,11.9,11.3,12.5,13.65,12.75,11.08
Luis Carbonell,95078291.0,11.85,12.9,10.3,13.15,13.05,12.0
Javi Mas,2000511079.0,12.5,13.3,11.9,14.05,13.25,12.92
Quique Clemente,67246261.0,12.3,12.0,13.45,12.95,11.85,12.0
Jesus Carrasco,2000439537.0,11.2,12.5,8.4,11.7,11.0,12.0
Malcom,19229435.0,12.3,14.1,10.05,14.3,13.8,13.0
Carles Aleñá,67213011.0,12.35,12.85,11.0,13.55,13.2,12.21
Marvin,67277459.0,10.2,12.0,9.0,11.25,11.1,11.0
Ander Imaz,2000439533.0,11.9,13.7,9.2,12.55,12.5,12.42
Francisco Jesús,2000511084.0,10.85,10.5,11.6,11.1,10.9,10.58
Vladimir Moldovan,2000570460.0,13.25,13.05,12.5,13.65,13.6,13.04
Jorge Tato,2000571897.0,11.3,13.6,9.55,11.35,11.75,13.08
