Player,UID,DM,AM,BWM,HB,SV,RGA
Ibrahima Thiam,2000325354.0,11.5,11.55,11.55,12.5,11.15,10.15
Stole Dimitrievski,47022611.0,8.9,8.3,8.3,9.65,9.85,10.45
Alfonso Pedraza,67212046.0,13.45,13.45,13.45,13.55,13.25,13.65
Gaetano Giannusa,2000434798.0,11.7,11.8,11.8,11.5,11.5,12.8
Thomas Perotta,2000342207.0,8.75,8.3,8.3,8.85,9.45,10.5
Abdelghafour Rahimi,2000325289.0,8.2,8.15,8.15,8.65,9.2,11.3
Nicola Brambilla,2000323520.0,8.25,8.5,8.5,8.7,8.65,10.45
Elías Cabrera,14222117.0,11.2,11.65,11.65,10.7,11.7,12.75
Tomas Kral,2000197839.0,6.95,6.7,6.7,7.35,8.45,9.6
Andrea Formisano,2000191459.0,12.0,11.8,11.8,12.1,11.7,12.0
Adriano Lisboa,2000189589.0,11.25,10.8,10.8,11.55,11.75,12.85
Gonçalo Guedes,55041710.0,9.95,9.75,9.75,10.6,10.65,12.5
Calvin Stengs,37059574.0,10.45,10.45,10.45,10.65,11.05,13.7
Joachim Andersen,27069975.0,13.95,13.55,13.55,13.75,14.25,13.35
Marcão,19190440.0,13.6,13.5,13.5,13.9,13.9,13.6
Marco Carnesecchi,43298002.0,11.55,11.5,11.5,12.4,10.85,10.9
Nicolò Rovella,43372892.0,13.1,12.8,12.8,12.8,13.2,13.7
Giovanni Groppi,2000507381.0,12.7,12.45,12.45,12.65,12.6,10.65
Nicola Improta,2000507382.0,13.25,12.95,12.95,12.45,12.5,10.7
Gerónimo Pezzella,2000285534.0,10.45,10.75,10.75,10.7,10.25,10.6
Walter Zampina,2000507379.0,11.2,11.3,11.3,11.1,10.9,11.1
Pino Birettoni,2000191463.0,10.85,10.15,10.15,11.1,11.6,12.6
Nelson Niz,2000272945.0,10.35,10.7,10.7,10.8,10.7,12.9
Danilo Catalano,2000626665.0,14.3,14.65,14.65,13.05,12.9,11.65
Krystian Palacz,96159314.0,11.85,11.15,11.15,10.65,11.55,11.85
Daniele Venturelli,2000434795.0,10.25,10.3,10.3,10.6,10.35,11.05
Stefano Ollanu,2000434791.0,12.65,12.55,12.55,12.35,11.4,11.5
Álvaro Odriozola,67199408.0,13.2,13.1,13.1,13.25,13.35,13.4
Gaetano Castrovilli,43206176.0,12.55,12.7,12.7,13.1,13.3,14.25
Ben Wilmot,29174249.0,14.55,14.65,14.65,14.75,14.25,12.45
Marcus Edwards,28106878.0,10.05,9.55,9.55,9.6,11.55,14.7
Pino Torrini,2000567624.0,11.0,11.55,11.55,11.25,10.8,10.55
Pietro Bruni,2000507380.0,12.3,12.5,12.5,12.5,12.9,13.7
Mario Staiano,2000328467.0,12.25,12.2,12.2,12.05,12.65,11.6
Giambattista Auletta,2000323518.0,11.4,11.3,11.3,11.05,12.1,13.95
Miłosz Jaskuła,2000018698.0,8.3,7.95,7.95,9.3,7.55,7.5
