Player,UID,AF,CF,DLF,F9,P,PF,TM
Ibrahima Thiam,2000325354.0,10.55,10.3,11.1,9.75,10.55,11.3,10.65
Stole Dimitrievski,47022611.0,6.05,8.65,10.75,9.1,6.05,6.65,7.9
Alfonso Pedraza,67212046.0,13.2,12.95,12.95,13.15,13.2,13.65,12.85
Gaetano Giannusa,2000434798.0,11.6,12.8,13.4,13.0,11.6,12.2,11.1
Thomas Perotta,2000342207.0,13.5,11.15,12.05,11.3,13.5,12.25,11.6
Abdelghafour Rahimi,2000325289.0,12.15,10.75,11.15,11.65,12.15,10.5,10.45
Nicola Brambilla,2000323520.0,11.3,11.95,12.05,11.1,11.3,11.35,12.3
Elías Cabrera,14222117.0,13.2,12.05,12.9,13.45,13.2,11.75,11.7
Tomas Kral,2000197839.0,14.1,10.15,11.8,11.35,14.1,10.95,10.0
Andrea Formisano,2000191459.0,13.15,11.6,12.3,12.7,13.15,13.1,11.55
Adriano Lisboa,2000189589.0,11.35,11.6,13.6,12.8,11.35,11.45,11.6
Gonçalo Guedes,55041710.0,12.6,11.9,12.4,12.8,12.6,11.9,11.2
Calvin Stengs,37059574.0,13.6,13.5,14.2,14.4,13.6,12.7,12.7
Joachim Andersen,27069975.0,12.0,12.55,13.55,12.2,12.0,12.05,12.55
Marcão,19190440.0,11.3,12.8,13.8,13.0,11.3,11.8,12.6
Marco Carnesecchi,43298002.0,10.15,9.65,11.9,9.5,10.15,11.0,10.9
Nicolò Rovella,43372892.0,12.6,12.5,13.7,13.1,12.6,12.4,11.6
Giovanni Groppi,2000507381.0,12.0,10.4,11.45,10.55,12.0,11.65,11.3
Nicola Improta,2000507382.0,12.15,10.65,10.8,10.55,12.15,11.9,10.55
Gerónimo Pezzella,2000285534.0,14.4,11.7,12.3,11.85,14.4,13.6,11.55
Walter Zampina,2000507379.0,12.5,12.9,12.6,11.95,12.5,12.85,13.1
Pino Birettoni,2000191463.0,15.0,13.6,14.05,13.6,15.0,13.5,14.15
Nelson Niz,2000272945.0,13.85,13.55,14.1,14.45,13.85,13.1,14.0
Danilo Catalano,2000626665.0,11.75,10.9,11.25,11.0,11.75,12.9,12.05
Krystian Palacz,96159314.0,12.4,10.45,11.55,11.9,12.4,11.35,10.65
Daniele Venturelli,2000434795.0,12.7,11.55,13.25,12.7,12.7,12.55,11.9
Stefano Ollanu,2000434791.0,11.35,11.7,12.5,12.15,11.35,12.0,12.0
Álvaro Odriozola,67199408.0,12.25,12.35,12.8,13.5,12.25,12.55,11.3
Gaetano Castrovilli,43206176.0,14.2,14.0,14.15,14.15,14.2,13.8,13.4
Ben Wilmot,29174249.0,12.4,12.35,12.35,11.55,12.4,12.95,12.45
Marcus Edwards,28106878.0,15.55,13.2,15.4,15.85,15.55,12.7,12.45
Pino Torrini,2000567624.0,12.4,11.3,12.25,11.95,12.4,12.95,11.6
Pietro Bruni,2000507380.0,12.7,13.2,14.6,14.0,12.7,12.5,13.0
Mario Staiano,2000328467.0,12.85,12.15,12.75,11.85,12.85,12.3,12.25
Giambattista Auletta,2000323518.0,15.9,13.7,14.9,14.9,15.9,13.2,14.1
Miłosz Jaskuła,2000018698.0,8.45,6.0,8.15,6.7,8.45,8.7,7.25
