Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Ibrahima Thiam,2000325354,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Stole Dimitrievski,47022611,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Pedraza,67212046,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Gaetano Giannusa,2000434798,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Thomas Perotta,2000342207,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Abdelghafour Rahimi,2000325289,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Nicola Brambilla,2000323520,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Elías Cabrera,14222117,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Tomas Kral,2000197839,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Andrea Formisano,2000191459,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Adriano Lisboa,2000189589,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Gonçalo Guedes,55041710,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Calvin Stengs,37059574,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Joachim Andersen,27069975,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcão,19190440,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Marco Carnesecchi,43298002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolò Rovella,43372892,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Giovanni Groppi,2000507381,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Nicola Improta,2000507382,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Gerónimo Pezzella,2000285534,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Walter Zampina,2000507379,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Pino Birettoni,2000191463,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Nelson Niz,2000272945,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Danilo Catalano,2000626665,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Krystian Palacz,96159314,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Daniele Venturelli,2000434795,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Stefano Ollanu,2000434791,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Álvaro Odriozola,67199408,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Gaetano Castrovilli,43206176,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Ben Wilmot,29174249,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Marcus Edwards,28106878,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Pino Torrini,2000567624,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Pietro Bruni,2000507380,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mario Staiano,2000328467,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Giambattista Auletta,2000323518,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Miłosz Jaskuła,2000018698,1,0,0,0,0,0,0,0,0,0,0,0,0,0
