Player,UID,AF,CF,DLF,F9,P,PF,TM
Arijanet Murić,28108492.0,9.65,9.5,11.6,9.65,9.65,10.35,9.9
Kyle Walker-Peters,29126231.0,12.55,11.75,12.0,12.45,12.55,12.7,10.8
Emmanuel,2000569770.0,11.75,11.1,12.8,11.8,11.75,11.4,12.0
José Marsà,67279755.0,12.8,12.4,13.1,12.5,12.8,13.0,12.4
Rubén,2000510866.0,13.65,12.75,13.45,13.65,13.65,13.1,12.25
Martín Zubimendi,67246385.0,12.2,13.0,13.3,12.8,12.2,12.4,12.8
Joan Jordán,67187249.0,10.45,12.35,13.6,13.0,10.45,10.55,11.65
Agustín,2000440745.0,13.5,11.95,13.25,12.9,13.5,12.95,12.1
Isaac Lihadji,49048366.0,14.15,12.8,13.55,13.6,14.15,12.8,11.85
Raphinha,19242277.0,13.8,13.1,13.6,14.2,13.8,12.6,11.4
Munir,67174735.0,12.7,13.25,14.0,14.2,12.7,11.55,12.3
José María Noguera,2000438352.0,11.8,12.0,13.3,12.4,11.8,12.3,12.1
Valeri Gavazov,2000215456.0,13.1,10.85,12.85,13.0,13.1,11.25,9.8
Gonçalo Ramos,83209468.0,13.8,13.25,14.4,13.55,13.8,12.55,13.65
Federico Real,2000193194.0,11.65,11.4,12.9,12.05,11.65,12.35,10.6
Dario Maresic,16170605.0,12.0,12.3,12.8,12.05,12.0,11.7,12.6
Rogelinho,2000439844.0,13.1,10.2,10.9,11.6,13.1,11.5,10.5
Lucas Ocampos,14031132.0,12.35,13.1,12.6,12.75,12.35,13.0,12.7
Mads Pedersen,27088224.0,12.75,10.8,12.0,12.7,12.75,11.9,10.0
Jordan Henderson,28005568.0,9.6,12.9,13.9,13.5,9.6,11.2,12.8
Koke,67047092.0,10.85,14.15,14.8,15.2,10.85,11.4,13.1
Óliver,67169689.0,10.45,11.6,13.4,13.65,10.45,9.3,10.1
Rasmus Højlund,27160181.0,12.7,12.0,12.0,11.4,12.7,12.6,12.6
Andri Fannar Sigurgeirsson,2000439839.0,11.7,10.4,11.45,10.55,11.7,11.7,11.65
Alvaro,2000510252.0,14.9,14.9,15.8,15.5,14.9,13.2,13.95
Sebastián,2000569766.0,12.9,12.6,13.45,12.4,12.9,12.7,12.9
