Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Arijanet Murić,28108492.0,14.5,11.5,13.75,13.17,11.0,5.0,15.5,13.0
0,29126231.0,3.0,13.12,13.0,13.25,2.5,4.5,2.0,2.0
Emmanuel,2000569770.0,2.75,13.88,12.25,15.42,2.0,2.5,3.75,2.75
José Marsà,67279755.0,2.0,14.5,15.5,13.67,2.0,2.0,1.75,2.5
Rubén,2000510866.0,3.5,16.0,11.5,14.08,2.5,3.0,2.0,2.25
Martín Zubimendi,67246385.0,2.25,13.5,12.5,13.67,3.0,2.0,1.75,2.0
Joan Jordán,67187249.0,2.5,10.25,7.5,13.17,2.25,2.5,2.5,2.0
Agustín,2000440745.0,1.75,14.12,15.5,12.58,3.0,1.5,3.0,2.75
Isaac Lihadji,49048366.0,2.75,14.12,15.0,12.67,2.5,2.0,2.25,2.5
Raphinha,19242277.0,1.75,11.5,14.0,12.83,1.75,3.0,2.25,1.75
Munir,67174735.0,2.5,11.12,11.0,12.5,3.0,2.5,2.5,1.5
José María Noguera,2000438352.0,2.5,14.25,14.0,14.0,3.0,4.0,2.5,1.5
Valeri Gavazov,2000215456.0,1.5,11.62,15.0,9.92,3.75,2.5,3.25,3.5
Gonçalo Ramos,83209468.0,2.25,12.75,12.5,13.25,2.25,3.0,3.25,2.25
Federico Real,2000193194.0,3.0,13.5,13.75,14.42,1.75,1.5,2.0,2.0
Dario Maresic,16170605.0,2.75,14.75,13.5,13.5,2.75,2.5,2.75,2.5
Rogelinho,2000439844.0,2.25,10.75,16.0,10.5,2.5,1.5,2.0,2.0
Lucas Ocampos,14031132.0,2.5,11.38,11.5,13.42,2.75,1.5,2.0,2.25
Mads Pedersen,27088224.0,3.5,12.25,13.0,12.75,2.0,4.0,1.75,3.5
Jordan Henderson,28005568.0,3.0,8.75,5.5,16.33,2.5,4.0,2.5,2.5
Koke,67047092.0,2.5,8.25,4.0,16.25,3.25,4.0,1.5,3.0
Óliver,67169689.0,2.75,8.62,8.0,12.58,3.5,2.0,2.25,2.5
Rasmus Højlund,27160181.0,2.25,12.25,14.0,12.33,1.75,3.0,3.25,2.0
Andri Fannar Sigurgeirsson,2000439839.0,1.75,13.0,13.25,14.08,2.75,3.5,3.5,2.75
Alvaro,2000510252.0,2.75,16.0,15.0,13.33,2.25,3.5,2.5,1.25
Sebastián,2000569766.0,1.5,12.62,15.0,13.0,3.0,2.5,3.5,4.25
