Player,UID,DM,AM,BWM,HB,SV,RGA
Arijanet Murić,28108492.0,9.8,9.4,9.4,11.35,10.25,10.5
0,29126231.0,13.25,13.25,13.25,13.2,13.3,12.75
Emmanuel,2000569770.0,14.35,14.15,14.15,13.9,13.55,13.2
José Marsà,67279755.0,13.7,13.6,13.6,13.8,13.6,12.9
Rubén,2000510866.0,14.25,13.85,13.85,13.35,13.25,12.85
Martín Zubimendi,67246385.0,13.5,13.9,13.9,13.6,13.9,13.2
Joan Jordán,67187249.0,12.5,12.1,12.1,11.9,13.35,14.1
Agustín,2000440745.0,11.25,11.4,11.4,11.4,11.45,12.15
Isaac Lihadji,49048366.0,11.55,11.6,11.6,11.15,11.55,13.4
Raphinha,19242277.0,10.9,10.5,10.5,11.4,12.4,14.0
Munir,67174735.0,9.55,9.4,9.4,10.05,10.65,13.75
José María Noguera,2000438352.0,13.9,13.5,13.5,14.3,13.7,13.2
Valeri Gavazov,2000215456.0,8.65,7.9,7.9,9.0,9.95,12.25
Gonçalo Ramos,83209468.0,10.4,10.35,10.35,10.8,11.15,13.35
Federico Real,2000193194.0,15.0,14.5,14.5,14.05,14.1,13.15
Dario Maresic,16170605.0,13.4,13.3,13.3,12.7,13.3,12.5
Rogelinho,2000439844.0,8.4,8.8,8.8,8.5,8.9,10.9
Lucas Ocampos,14031132.0,10.15,10.05,10.05,11.6,10.5,12.5
Mads Pedersen,27088224.0,12.75,12.75,12.75,11.85,12.7,12.7
Jordan Henderson,28005568.0,13.9,14.1,14.1,14.1,14.4,14.2
Koke,67047092.0,14.05,14.15,14.15,13.85,14.95,15.9
Óliver,67169689.0,9.95,9.65,9.65,9.9,11.6,13.7
Rasmus Højlund,27160181.0,9.4,9.4,9.4,10.5,9.3,10.6
Andri Fannar Sigurgeirsson,2000439839.0,13.85,14.3,14.3,12.9,12.65,11.7
Alvaro,2000510252.0,12.7,12.4,12.4,12.1,13.25,15.55
Sebastián,2000569766.0,10.85,11.3,11.3,11.1,10.95,11.4
