Player,UID,AMC,AP,T,SS,AM,EG
Arijanet Murić,28108492.0,10.8,9.9,10.8,9.25,10.35,9.25
Kyle Walker-Peters,29126231.0,13.55,13.35,13.55,12.95,13.1,13.15
Emmanuel,2000569770.0,12.65,12.05,12.65,11.15,12.15,11.5
José Marsà,67279755.0,13.0,12.8,13.0,12.1,12.8,12.8
Rubén,2000510866.0,14.35,13.55,14.35,14.35,14.6,13.9
Martín Zubimendi,67246385.0,13.8,13.3,13.8,12.7,13.3,13.1
Joan Jordán,67187249.0,14.1,13.85,14.1,12.7,13.25,12.95
Agustín,2000440745.0,13.4,13.3,13.4,12.3,13.1,13.2
Isaac Lihadji,49048366.0,13.45,13.65,13.45,13.35,13.95,13.75
Raphinha,19242277.0,13.9,14.4,13.9,14.3,14.4,14.6
Munir,67174735.0,13.35,13.85,13.35,13.5,13.55,14.0
José María Noguera,2000438352.0,13.1,12.8,13.1,12.0,12.6,12.5
Valeri Gavazov,2000215456.0,11.3,12.0,11.3,12.4,12.8,12.6
Gonçalo Ramos,83209468.0,12.9,13.2,12.9,13.0,13.3,13.3
Federico Real,2000193194.0,13.25,12.4,13.25,12.1,12.8,11.4
Dario Maresic,16170605.0,12.6,12.3,12.6,12.1,12.7,12.3
Rogelinho,2000439844.0,11.6,13.0,11.6,11.9,12.0,12.7
Lucas Ocampos,14031132.0,13.2,13.7,13.2,13.65,13.0,13.5
Mads Pedersen,27088224.0,12.7,12.8,12.7,12.6,13.05,12.55
Jordan Henderson,28005568.0,14.1,13.6,14.1,12.6,13.1,12.5
Koke,67047092.0,15.5,14.9,15.5,14.55,14.95,14.15
Óliver,67169689.0,13.4,13.7,13.4,12.75,13.3,13.6
Rasmus Højlund,27160181.0,11.5,11.5,11.5,12.1,11.9,11.6
Andri Fannar Sigurgeirsson,2000439839.0,12.2,11.7,12.2,10.5,11.2,10.9
Alvaro,2000510252.0,15.1,15.4,15.1,14.85,15.45,15.9
Sebastián,2000569766.0,12.2,12.9,12.2,11.9,12.7,12.05
