Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Arijanet Murić,28108492,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker-Peters,29126231,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Emmanuel,2000569770,0,0,1,1,0,1,0,0,0,0,0,0,0,0
José Marsà,67279755,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rubén,2000510866,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Martín Zubimendi,67246385,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Joan Jordán,67187249,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Agustín,2000440745,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Isaac Lihadji,49048366,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Raphinha,19242277,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Munir,67174735,0,0,0,0,0,0,0,0,0,1,1,1,1,1
José María Noguera,2000438352,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Valeri Gavazov,2000215456,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Gonçalo Ramos,83209468,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Federico Real,2000193194,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Dario Maresic,16170605,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Rogelinho,2000439844,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Lucas Ocampos,14031132,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Mads Pedersen,27088224,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Jordan Henderson,28005568,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Koke,67047092,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Óliver,67169689,0,0,0,0,0,1,0,0,1,1,0,1,1,0
Rasmus Højlund,27160181,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Andri Fannar Sigurgeirsson,2000439839,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Alvaro,2000510252,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Sebastián,2000569766,0,0,0,0,0,1,0,0,0,0,0,1,0,0
