Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Nacho Méndez,67248345.0,13.0,13.0,13.0,13.0,11.6,11.6,13.0,13.0,10.92,10.92
Julio Nsi,2000629231.0,13.15,13.15,13.15,13.15,14.1,14.1,13.4,13.4,13.42,13.42
Dorian Vera,2000514439.0,4.75,4.75,4.75,4.75,3.8,3.8,4.75,4.75,4.42,4.42
Javier Alonso,2000443218.0,10.3,10.3,10.3,10.3,11.45,11.45,9.9,9.9,11.12,11.12
Bernardo,2000440739.0,11.8,11.8,11.8,11.8,12.0,12.0,11.6,11.6,12.0,12.0
Jorge Álvarez,2000202563.0,10.5,10.5,10.5,10.5,11.6,11.6,10.5,10.5,11.83,11.83
Fran,2000666004.0,12.05,12.05,12.05,12.05,9.7,9.7,12.25,12.25,9.58,9.58
Oriol Valentín,2000632214.0,10.3,10.3,10.3,10.3,9.7,9.7,9.35,9.35,10.29,10.29
Babacar Faye,2000197156.0,13.3,13.3,13.3,13.3,12.8,12.8,12.8,12.8,12.17,12.17
Jonay Prieto,2000197151.0,12.45,12.45,12.45,12.45,11.4,11.4,11.75,11.75,10.83,10.83
Manuel Jesús Romero,2000194994.0,12.1,12.1,12.1,12.1,12.4,12.4,11.5,11.5,11.42,11.42
Elliot,67256517.0,11.9,11.9,11.9,11.9,12.0,12.0,11.2,11.2,11.58,11.58
Iván Calero,67176056.0,11.7,11.7,11.7,11.7,10.9,10.9,11.1,11.1,10.58,10.58
Antonio Sánchez,2000570832.0,9.4,9.4,9.4,9.4,9.45,9.45,8.8,8.8,10.5,10.5
Stefan Bajčetić,2000082598.0,9.1,9.1,9.1,9.1,8.9,8.9,9.0,9.0,9.33,9.33
Xisco Cardona,2000572821.0,13.05,13.05,13.05,13.05,11.0,11.0,12.85,12.85,10.58,10.58
Juan Pérez,67217545.0,7.85,7.85,7.85,7.85,6.65,6.65,6.65,6.65,6.62,6.62
Cristo,67211796.0,12.4,12.4,12.4,12.4,12.5,12.5,12.2,12.2,11.33,11.33
Álex López,67257948.0,11.5,11.5,11.5,11.5,9.9,9.9,11.0,11.0,9.83,9.83
Lubomir Toth,2000626733.0,12.4,12.4,12.4,12.4,11.7,11.7,12.6,12.6,11.08,11.08
