Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Nacho Méndez,67248345,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Julio Nsi,2000629231,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Dorian Vera,2000514439,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Alonso,2000443218,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Bernardo,2000440739,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Jorge Álvarez,2000202563,0,0,0,0,1,0,0,0,0,1,1,0,1,1
Fran,2000666004,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Oriol Valentín,2000632214,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Babacar Faye,2000197156,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Jonay Prieto,2000197151,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Manuel Jesús Romero,2000194994,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Elliot,67256517,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Iván Calero,67176056,0,1,0,1,1,0,1,1,0,1,1,0,0,0
Antonio Sánchez,2000570832,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Stefan Bajčetić,2000082598,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xisco Cardona,2000572821,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Juan Pérez,67217545,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristo,67211796,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Álex López,67257948,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Lubomir Toth,2000626733,0,0,0,0,0,0,0,1,1,0,1,0,0,0
