Player,UID,DM,AM,BWM,HB,SV,RGA
Nacho Méndez,67248345.0,10.8,10.4,10.4,10.6,11.4,13.0
Julio Nsi,2000629231.0,10.65,10.45,10.45,10.8,10.75,13.5
Dorian Vera,2000514439.0,6.25,4.9,4.9,5.65,6.6,6.15
Javier Alonso,2000443218.0,6.3,6.5,6.5,7.6,7.6,9.1
Bernardo,2000440739.0,8.15,7.75,7.75,8.15,7.95,10.5
Jorge Álvarez,2000202563.0,7.6,7.8,7.8,9.4,6.9,9.6
Fran,2000666004.0,12.55,11.95,11.95,12.75,11.9,10.95
Oriol Valentín,2000632214.0,12.7,13.0,13.0,12.65,12.9,10.9
Babacar Faye,2000197156.0,10.4,10.2,10.2,10.5,11.1,12.7
Jonay Prieto,2000197151.0,7.95,8.05,8.05,9.6,8.9,11.55
Manuel Jesús Romero,2000194994.0,13.4,13.1,13.1,13.1,12.2,11.5
Elliot,67256517.0,9.1,9.3,9.3,9.0,9.0,11.4
Iván Calero,67176056.0,11.5,12.0,12.0,11.0,12.8,12.3
Antonio Sánchez,2000570832.0,12.25,12.65,12.65,12.85,11.75,9.6
Stefan Bajčetić,2000082598.0,11.6,11.1,11.1,11.3,11.2,9.5
Xisco Cardona,2000572821.0,10.75,10.05,10.05,10.65,11.1,12.45
Juan Pérez,67217545.0,9.1,9.4,9.4,10.3,9.1,8.85
Cristo,67211796.0,7.4,7.8,7.8,8.1,8.9,11.5
Álex López,67257948.0,11.7,12.1,12.1,11.4,13.3,12.6
Lubomir Toth,2000626733.0,9.9,9.7,9.7,9.8,10.4,10.6
