Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Nacho Méndez,67248345.0,9.0,11.75,10.0,14.0,11.33,14.0,7.5,10.83
Julio Nsi,2000629231.0,7.17,13.88,15.5,14.33,14.0,13.5,10.0,11.83
Dorian Vera,2000514439.0,3.5,8.12,9.5,2.5,3.83,2.83,7.5,7.08
Javier Alonso,2000443218.0,2.0,12.0,15.75,10.67,10.33,12.0,9.5,8.17
Bernardo,2000440739.0,1.17,11.25,14.0,12.0,9.33,11.33,12.0,10.17
Jorge Álvarez,2000202563.0,1.33,11.75,15.0,11.0,8.67,12.0,13.0,12.5
Fran,2000666004.0,11.83,12.12,9.5,7.83,9.67,11.0,9.0,12.58
Oriol Valentín,2000632214.0,13.33,12.75,12.5,10.33,7.67,9.83,13.25,12.75
Babacar Faye,2000197156.0,7.33,13.0,12.5,13.33,12.33,14.0,9.0,11.33
Jonay Prieto,2000197151.0,3.83,11.75,11.5,14.67,10.0,14.5,8.0,11.5
Manuel Jesús Romero,2000194994.0,11.67,14.5,13.5,9.0,8.67,10.33,6.5,14.17
Elliot,67256517.0,5.0,11.25,13.5,12.67,10.67,12.33,9.5,11.0
Iván Calero,67176056.0,12.67,8.75,9.0,12.33,11.0,12.0,9.0,11.83
Antonio Sánchez,2000570832.0,13.83,12.75,14.0,8.0,8.17,8.83,15.75,13.17
Stefan Bajčetić,2000082598.0,13.67,12.0,13.5,7.33,8.33,6.33,11.5,10.5
Xisco Cardona,2000572821.0,8.17,12.88,11.0,12.17,9.0,14.0,8.5,10.25
Juan Pérez,67217545.0,4.33,11.5,10.5,8.33,5.5,4.67,6.5,11.33
Cristo,67211796.0,3.33,11.0,15.0,14.0,12.67,14.67,5.5,9.83
Álex López,67257948.0,14.33,10.5,14.5,12.33,12.0,10.67,9.5,11.67
Lubomir Toth,2000626733.0,8.0,11.75,14.0,8.0,11.33,15.67,8.0,11.83
