Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Nacho Méndez,67248345.0,11.34,11.24,10.64,11.47,11.35,11.61,11.78,11.51,11.77,11.22
Julio Nsi,2000629231.0,13.1,12.42,11.72,12.75,12.2,13.0,12.78,13.05,13.2,12.98
Dorian Vera,2000514439.0,9.25,6.87,7.49,6.39,6.52,6.1,6.21,6.09,6.07,6.27
Javier Alonso,2000443218.0,9.32,9.51,8.44,10.06,9.27,10.57,9.95,10.94,10.53,10.63
Bernardo,2000440739.0,10.89,10.47,9.63,10.88,10.12,11.29,10.72,11.44,11.28,11.08
Jorge Álvarez,2000202563.0,11.32,10.22,9.37,10.48,9.7,10.92,10.13,11.17,10.9,10.96
Fran,2000666004.0,12.39,11.55,11.65,11.37,11.72,11.12,11.58,10.91,11.28,10.81
Oriol Valentín,2000632214.0,11.6,11.54,12.03,11.25,11.37,10.54,10.97,10.74,10.81,10.8
Babacar Faye,2000197156.0,11.74,11.59,10.85,11.88,11.62,12.17,12.24,12.26,12.41,11.89
Jonay Prieto,2000197151.0,10.86,10.37,9.34,10.71,10.4,11.22,11.2,11.23,11.46,10.72
Manuel Jesús Romero,2000194994.0,13.65,12.45,12.05,12.33,12.15,11.92,11.97,12.07,11.97,11.17
Elliot,67256517.0,10.52,10.58,9.78,10.96,10.55,11.42,11.01,11.6,11.47,11.22
Iván Calero,67176056.0,9.98,10.48,10.46,10.53,10.84,10.62,10.91,10.43,10.52,10.24
Antonio Sánchez,2000570832.0,12.51,12.05,12.47,11.57,11.62,11.03,11.13,11.18,11.1,11.31
Stefan Bajčetić,2000082598.0,12.14,11.42,11.93,11.05,11.13,10.42,10.61,10.49,10.51,10.51
Xisco Cardona,2000572821.0,11.27,11.27,10.66,11.41,11.39,11.51,11.96,11.5,11.9,11.09
Juan Pérez,67217545.0,10.95,8.95,8.69,8.81,8.54,8.36,8.66,8.35,8.69,8.07
Cristo,67211796.0,10.14,10.42,8.98,11.23,10.47,11.99,11.31,12.16,11.97,11.62
Álex López,67257948.0,11.65,11.96,12.03,11.95,12.17,11.81,12.19,11.76,12.09,11.65
Lubomir Toth,2000626733.0,11.22,11.24,10.71,11.58,11.19,11.92,11.61,12.18,11.9,11.81
