Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Sérgio Mané,2000507867.0,8.33,13.75,13.5,15.67,12.33,14.67,10.0,13.0
Urko González de Zárate,2000058330.0,14.0,12.75,15.0,10.67,6.0,9.0,14.5,11.83
Rubén Iranzo,2000032467.0,15.33,15.0,15.5,12.67,12.0,11.33,15.0,13.17
Gautier Larsonneur,85133818.0,6.33,12.88,11.5,11.17,5.83,11.17,7.0,13.42
José Gayà,67178177.0,13.67,13.25,14.0,14.67,13.0,14.67,5.5,14.67
Morten Thorsby,53098756.0,13.0,14.12,13.5,12.0,12.83,10.0,14.0,14.25
Orkun Kökçü,37061602.0,6.33,14.25,13.5,14.33,12.67,14.67,7.5,13.17
Aaron Wan-Bissaka,28100123.0,14.33,14.75,15.5,9.33,8.83,11.67,11.0,14.33
Bartol Barišić,24065111.0,5.0,13.5,12.0,11.67,15.67,14.33,15.0,14.0
Gabriel Jesus,19220266.0,7.33,13.5,14.5,15.0,15.33,15.33,11.0,13.5
Enrico Brancadori,2000436507.0,16.33,16.5,16.0,13.67,11.33,13.33,17.5,14.67
Salvador Poveda,2000137183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivo Gujinović,2000565341.0,14.67,15.5,14.0,9.17,9.17,10.17,10.5,16.0
Damián Ribera,2000193186.0,7.67,13.38,14.5,15.67,13.33,16.0,8.0,13.42
Sheldon Peltier,2000187635.0,11.0,15.0,15.0,11.0,10.33,13.33,13.0,14.0
Mouctar Diakhaby,48036643.0,14.33,13.88,12.5,10.83,8.5,10.33,15.5,14.25
Georges Teixeira,2000187375.0,13.33,13.38,13.0,10.5,7.67,9.17,15.0,13.42
Nico Serrano,67295206.0,6.33,13.12,15.0,13.0,13.33,15.33,12.0,10.25
Rodri,67217524.0,13.67,12.5,12.5,13.33,11.33,13.0,13.5,13.83
Predrag Rajković,62076152.0,8.0,12.12,9.75,8.83,9.0,9.17,8.25,13.08
Nicolas Cozza,49037761.0,13.33,14.5,13.0,12.33,11.33,12.0,11.5,13.17
Joaquín Salgado,2000272916.0,4.0,13.25,16.5,11.33,16.0,14.33,9.5,11.0
Aron Ehlers,2000194937.0,8.17,13.38,15.5,14.33,11.83,14.0,9.0,13.17
Cristhian Mosquera,2000030816.0,12.67,13.88,13.0,10.17,7.83,8.33,13.5,12.42
