Player,UID,Position
Sérgio Mané,2000507867,M/AM (LC)
Urko González de Zárate,2000058330,"D (C), DM, M (C)"
Rubén Iranzo,2000032467,D (LC)
Gautier Larsonneur,85133818,GK
José Gayà,67178177,D/WB/M (L)
Morten Thorsby,53098756,"WB (R), DM, M (RC), AM (R)"
Orkun Kökçü,37061602,"DM, M/AM (C)"
Aaron Wan-Bissaka,28100123,D/WB (R)
Bartol Barišić,24065111,ST (C)
Gabriel Jesus,19220266,"AM (RLC), ST (C)"
Enrico Brancadori,2000436507,D (C)
Salvador Poveda,2000137183,GK
Ivo Gujinović,2000565341,D (RL)
Damián Ribera,2000193186,"M (C), AM (LC)"
Sheldon Peltier,2000187635,"D (RL), WB (L)"
Mouctar Diakhaby,48036643,"D (C), DM"
Georges Teixeira,2000187375,"D (C), DM"
Nico Serrano,67295206,"M (RL), AM (RLC), ST (C)"
Rodri,67217524,"DM, M (C)"
Predrag Rajković,62076152,GK
Nicolas Cozza,49037761,D (LC)
Joaquín Salgado,2000272916,ST (C)
Aron Ehlers,2000194937,M/AM (R)
Cristhian Mosquera,2000030816,D (RC)
