Player,UID,WM,W,DW,IW,IF,WG
Sérgio Mané,2000507867.0,13.0,13.0,11.3,14.8,14.0,12.5
Urko González de Zárate,2000058330.0,11.1,10.6,12.3,11.5,10.7,11.25
Rubén Iranzo,2000032467.0,12.8,12.8,14.0,13.1,12.6,13.17
Gautier Larsonneur,85133818.0,8.75,9.65,9.8,10.95,9.95,9.21
José Gayà,67178177.0,14.9,14.2,14.3,14.9,14.3,12.75
Morten Thorsby,53098756.0,13.25,13.6,14.1,12.5,12.45,13.67
Orkun Kökçü,37061602.0,13.1,13.6,11.4,14.1,13.6,12.58
Aaron Wan-Bissaka,28100123.0,13.5,13.6,13.8,11.7,11.65,13.17
Bartol Barišić,24065111.0,11.9,12.4,10.3,13.8,14.2,12.83
Gabriel Jesus,19220266.0,13.3,14.2,11.8,14.7,14.8,13.67
Enrico Brancadori,2000436507.0,12.7,13.6,14.2,13.7,13.0,14.25
Salvador Poveda,2000137183.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivo Gujinović,2000565341.0,13.0,13.45,14.25,12.9,12.5,12.96
Damián Ribera,2000193186.0,14.3,13.8,11.75,15.85,15.45,12.83
Sheldon Peltier,2000187635.0,12.3,12.5,11.9,13.2,12.5,12.58
Mouctar Diakhaby,48036643.0,11.55,11.4,13.3,11.9,11.55,12.08
Georges Teixeira,2000187375.0,11.9,11.15,13.0,11.9,11.25,11.79
Nico Serrano,67295206.0,12.25,12.85,9.5,13.25,13.25,12.71
Rodri,67217524.0,13.1,12.1,13.5,13.8,13.0,12.33
Predrag Rajković,62076152.0,8.85,8.75,9.7,10.05,9.75,8.67
Nicolas Cozza,49037761.0,12.6,12.7,13.4,12.9,12.4,12.5
Joaquín Salgado,2000272916.0,12.3,14.1,9.6,13.5,14.1,13.33
Aron Ehlers,2000194937.0,12.85,13.85,11.3,13.55,13.0,13.04
Cristhian Mosquera,2000030816.0,10.75,10.8,12.4,11.0,10.45,11.25
