Player,UID,DM,AM,BWM,HB,SV,RGA
Sérgio Mané,2000507867.0,11.4,10.9,10.9,11.0,12.0,14.4
Urko González de Zárate,2000058330.0,12.8,12.2,12.2,12.1,12.5,11.6
Rubén Iranzo,2000032467.0,14.2,14.1,14.1,13.3,14.5,13.3
Gautier Larsonneur,85133818.0,10.85,10.85,10.85,11.25,11.0,11.6
José Gayà,67178177.0,13.8,13.7,13.7,13.5,14.4,15.0
Morten Thorsby,53098756.0,14.25,15.05,15.05,14.3,13.85,11.9
Orkun Kökçü,37061602.0,11.1,11.2,11.2,11.5,11.6,13.3
Aaron Wan-Bissaka,28100123.0,14.1,14.3,14.3,14.9,13.5,11.2
Bartol Barišić,24065111.0,11.2,11.0,11.0,11.6,11.5,13.4
Gabriel Jesus,19220266.0,11.7,11.8,11.8,12.2,12.4,14.2
Enrico Brancadori,2000436507.0,15.1,14.8,14.8,14.2,14.8,14.2
Salvador Poveda,2000137183.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivo Gujinović,2000565341.0,15.65,15.5,15.5,14.5,13.75,12.5
Damián Ribera,2000193186.0,11.65,11.15,11.15,10.55,12.55,14.75
Sheldon Peltier,2000187635.0,12.4,12.0,12.0,12.9,12.3,12.9
Mouctar Diakhaby,48036643.0,14.35,14.05,14.05,14.4,13.8,11.95
Georges Teixeira,2000187375.0,13.55,13.05,13.05,13.65,13.3,11.6
Nico Serrano,67295206.0,9.65,9.45,9.45,9.1,10.15,12.25
Rodri,67217524.0,13.9,13.9,13.9,13.2,14.4,14.0
Predrag Rajković,62076152.0,11.05,11.4,11.4,12.05,10.6,10.2
Nicolas Cozza,49037761.0,13.6,13.7,13.7,13.2,13.6,13.1
Joaquín Salgado,2000272916.0,10.1,10.3,10.3,9.8,10.4,11.9
Aron Ehlers,2000194937.0,11.55,11.4,11.4,11.15,11.25,13.65
Cristhian Mosquera,2000030816.0,13.45,13.05,13.05,12.6,12.8,11.05
