Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Sérgio Mané,2000507867,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Urko González de Zárate,2000058330,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Rubén Iranzo,2000032467,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gautier Larsonneur,85133818,1,0,0,0,0,0,0,0,0,0,0,0,0,0
José Gayà,67178177,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Morten Thorsby,53098756,0,0,0,0,1,1,0,1,1,0,1,0,0,0
Orkun Kökçü,37061602,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Aaron Wan-Bissaka,28100123,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bartol Barišić,24065111,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gabriel Jesus,19220266,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Enrico Brancadori,2000436507,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Salvador Poveda,2000137183,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivo Gujinović,2000565341,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Damián Ribera,2000193186,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Sheldon Peltier,2000187635,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Mouctar Diakhaby,48036643,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Georges Teixeira,2000187375,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Nico Serrano,67295206,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Rodri,67217524,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Predrag Rajković,62076152,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Cozza,49037761,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Joaquín Salgado,2000272916,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aron Ehlers,2000194937,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Cristhian Mosquera,2000030816,0,1,1,0,0,0,0,0,0,0,0,0,0,0
