Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Ander Cantero,2000200392,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Loureiro,67210521,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Isaac,2000681907,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Anthony Maillard,2000662437,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hugo Bueno,28127371,0,0,0,1,0,0,1,0,1,0,0,0,0,0
José María Navarro,2000571796,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Jesús Díaz,2000437762,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Amador,2000440900,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Jofre,67277677,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Héctor Badía,2000569609,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Miguel Embid,2000570458,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Miguel López,2000714751,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Emiliano Amor,14080997,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Francisco Javier Sáiz,2000679747,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Víctor Campuzano,67214684,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Miguel Gómez,2000055060,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Antonio Poo,2000076428,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Èric Montes,95036004,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Adrián Tellado,67260179,0,1,0,0,1,0,0,0,0,0,0,1,0,1
Harvey Woods,2000031620,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Sergi Puig,67247577,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Martí Vilà,67258410,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Bryan Zaragoza,2000054263,0,0,0,0,0,0,0,1,0,1,0,1,1,0
Carlos Castro,2000444086,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jon Ander Garai,2000684546,0,0,0,0,0,0,0,0,1,0,0,1,0,0
