Player,UID,AF,CF,DLF,F9,P,PF,TM
Ander Cantero,2000200392.0,7.6,7.25,9.85,8.5,7.6,7.75,8.95
Miguel Loureiro,67210521.0,11.5,10.4,10.95,11.15,11.5,12.0,10.85
Isaac,2000681907.0,9.7,10.65,10.9,10.15,9.7,11.15,10.45
Anthony Maillard,2000662437.0,11.25,11.4,12.35,11.45,11.25,10.35,10.9
Hugo Bueno,28127371.0,10.4,8.9,11.0,11.0,10.4,9.1,9.2
José María Navarro,2000571796.0,12.7,11.0,11.75,11.35,12.7,11.45,11.0
Jesús Díaz,2000437762.0,13.35,12.9,14.2,13.7,13.35,12.8,12.3
Amador,2000440900.0,10.8,10.0,10.8,9.9,10.8,11.9,10.8
Jofre,67277677.0,11.55,10.2,10.65,11.0,11.55,10.6,9.25
Héctor Badía,2000569609.0,11.65,10.9,11.3,11.5,11.65,11.5,9.9
Miguel Embid,2000570458.0,12.95,11.2,11.85,12.15,12.95,10.55,11.25
Miguel López,2000714751.0,4.45,2.5,3.8,3.2,4.45,3.3,3.5
Emiliano Amor,14080997.0,9.4,11.1,11.2,10.6,9.4,10.7,11.2
Francisco Javier Sáiz,2000679747.0,7.4,9.2,9.0,8.7,7.4,8.7,6.9
Víctor Campuzano,67214684.0,12.7,11.7,12.75,13.05,12.7,12.0,10.9
Miguel Gómez,2000055060.0,8.7,10.7,10.5,10.5,8.7,10.3,11.3
Antonio Poo,2000076428.0,10.2,8.3,9.2,8.1,10.2,10.6,8.7
Èric Montes,95036004.0,9.2,9.6,9.6,8.9,9.2,11.1,9.6
Adrián Tellado,67260179.0,10.0,10.0,10.4,10.1,10.0,9.5,9.3
Harvey Woods,2000031620.0,10.6,9.2,9.9,10.1,10.6,10.9,9.8
Sergi Puig,67247577.0,7.05,5.85,7.95,6.55,7.05,7.05,6.55
Martí Vilà,67258410.0,3.75,6.15,5.8,5.3,3.75,6.75,6.5
Bryan Zaragoza,2000054263.0,10.6,9.7,10.1,11.0,10.6,10.5,9.0
Carlos Castro,2000444086.0,9.4,7.05,8.2,6.25,9.4,9.6,10.15
Jon Ander Garai,2000684546.0,9.9,10.8,10.7,10.8,9.9,10.5,9.5
