Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Ander Cantero,2000200392.0,10.2,8.6,8.6,8.35,8.47,8.06,8.38,7.89,8.27,7.67
Miguel Loureiro,67210521.0,12.28,11.86,11.74,11.85,11.48,11.55,11.37,11.7,11.43,11.02
Isaac,2000681907.0,11.78,11.52,11.84,11.17,11.46,10.67,11.16,10.7,10.85,10.35
Anthony Maillard,2000662437.0,13.05,11.86,12.13,11.43,11.95,10.95,11.51,10.85,11.25,10.83
Hugo Bueno,28127371.0,11.31,11.34,11.27,11.41,10.99,11.23,11.02,11.36,11.07,10.5
José María Navarro,2000571796.0,11.12,10.67,9.9,11.07,10.24,11.57,10.96,11.83,11.52,11.67
Jesús Díaz,2000437762.0,12.81,12.57,11.93,12.78,12.8,12.82,13.16,12.88,13.14,12.41
Amador,2000440900.0,12.66,11.64,11.38,11.4,11.44,10.92,11.42,10.85,11.13,10.22
Jofre,67277677.0,10.72,10.6,9.74,10.83,10.42,10.89,10.71,11.07,11.02,10.54
Héctor Badía,2000569609.0,10.42,10.39,9.26,10.86,10.36,11.34,10.89,11.61,11.43,10.79
Miguel Embid,2000570458.0,10.47,10.51,9.99,10.91,10.23,11.1,10.85,11.34,11.39,11.42
Miguel López,2000714751.0,7.3,5.18,5.63,4.69,4.79,4.6,4.56,4.66,4.54,4.4
Emiliano Amor,14080997.0,11.0,10.7,10.99,10.46,10.79,10.2,10.65,10.03,10.34,10.05
Francisco Javier Sáiz,2000679747.0,5.71,7.11,6.23,7.9,6.86,8.35,7.99,8.76,8.4,8.53
Víctor Campuzano,67214684.0,11.06,10.99,10.23,11.35,11.06,11.56,11.42,11.6,11.7,11.29
Miguel Gómez,2000055060.0,11.86,11.24,11.65,10.95,11.05,10.9,11.02,10.74,10.81,10.7
Antonio Poo,2000076428.0,11.78,10.83,10.38,10.64,10.53,10.38,10.52,10.68,10.62,9.73
Èric Montes,95036004.0,11.15,10.8,10.95,10.47,10.89,9.95,10.54,10.14,10.29,9.54
Adrián Tellado,67260179.0,9.98,9.53,8.35,9.7,9.38,10.0,9.58,10.03,9.82,9.57
Harvey Woods,2000031620.0,10.82,10.17,9.34,10.27,9.72,10.46,10.22,10.66,10.46,10.16
Sergi Puig,67247577.0,10.51,8.14,8.06,7.83,7.66,7.38,7.53,7.28,7.69,6.96
Martí Vilà,67258410.0,6.12,6.86,8.05,6.49,7.14,6.03,6.48,6.23,6.16,5.94
Bryan Zaragoza,2000054263.0,8.37,9.05,7.67,9.89,8.94,10.45,9.73,10.72,10.21,9.79
Carlos Castro,2000444086.0,11.16,10.29,10.85,9.81,9.68,8.9,8.86,9.16,8.77,9.16
Jon Ander Garai,2000684546.0,7.89,8.54,6.91,9.21,8.62,10.12,10.18,10.34,10.61,9.75
