,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DC_abis,Aerial,3.0,12.0,13.5,15.0,16.0,20.0
1,DC_abis,Awareness,4.33,10.5,11.67,12.83,13.83,16.0
2,DC_abis,Clearing,4.5,9.0,11.0,13.0,14.0,17.0
3,DC_abis,Closing,6.25,10.75,12.0,13.0,13.75,18.0
4,DC_abis,Control,5.25,9.0,10.5,11.5,13.0,15.5
5,DC_abis,Creativity,6.67,10.0,11.33,12.0,12.83,15.33
6,DC_abis,Crossing,4.67,8.33,9.5,10.33,11.5,15.0
7,DC_abis,Decision,8.0,12.0,12.75,13.5,14.5,17.75
8,DC_abis,Defensive,6.25,10.75,12.0,13.0,13.75,18.0
9,DC_abis,Dribbling,3.25,7.75,9.25,10.5,11.25,15.0
10,DC_abis,Focus,0.0,11.0,12.0,13.0,14.0,17.0
11,DC_abis,Endeavour,7.62,11.25,12.5,13.38,14.25,17.5
12,DC_abis,Intelligence,6.6,10.4,11.2,11.9,13.0,15.0
13,DC_abis,Marking,8.5,11.17,12.0,13.0,13.67,16.67
14,DC_abis,Mobility,5.0,11.75,12.75,13.5,14.5,17.0
15,DC_abis,Movement,8.33,12.0,12.67,13.67,14.33,16.33
16,DC_abis,Off The Ball,0.0,6.5,8.0,9.0,10.5,15.0
17,DC_abis,Passing,5.25,9.75,11.0,12.0,13.0,17.0
18,DC_abis,Physical,3.5,11.75,13.0,13.75,14.5,17.5
19,DC_abis,Shooting,3.67,6.5,8.0,8.83,10.0,12.67
20,DC_abis,Tackling,8.0,12.0,13.0,14.0,15.0,18.0
