,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,AMC_abis,Aerial,2.0,7.0,9.0,11.0,13.0,19.0
1,AMC_abis,Awareness,5.17,11.5,12.67,13.5,14.33,16.33
2,AMC_abis,Clearing,2.5,7.0,8.0,9.0,11.0,16.0
3,AMC_abis,Closing,5.5,9.0,10.25,11.0,12.5,16.75
4,AMC_abis,Control,9.0,12.75,14.0,15.0,15.5,18.5
5,AMC_abis,Creativity,8.0,12.0,13.0,13.67,14.33,17.67
6,AMC_abis,Crossing,7.67,11.17,12.33,13.17,14.0,17.67
7,AMC_abis,Decision,7.0,11.25,12.5,13.0,14.5,17.5
8,AMC_abis,Defensive,5.5,9.0,10.25,11.0,12.5,16.75
9,AMC_abis,Dribbling,8.25,12.0,13.25,14.25,15.25,17.0
10,AMC_abis,Focus,5.0,9.75,10.75,12.0,13.0,16.0
11,AMC_abis,Endeavour,7.25,10.25,11.5,12.25,12.88,17.0
12,AMC_abis,Intelligence,7.7,11.9,12.9,13.5,14.1,16.4
13,AMC_abis,Marking,4.83,8.0,8.83,9.67,10.83,14.83
14,AMC_abis,Mobility,6.75,12.25,13.25,14.0,14.88,17.75
15,AMC_abis,Movement,6.5,11.5,12.5,13.33,14.0,16.67
16,AMC_abis,Off The Ball,7.0,11.0,13.0,14.0,15.0,18.5
17,AMC_abis,Passing,8.0,12.5,13.75,14.5,15.5,17.5
18,AMC_abis,Physical,6.75,10.5,11.75,13.0,14.0,16.0
19,AMC_abis,Shooting,5.67,10.67,11.67,12.33,13.33,16.33
20,AMC_abis,Tackling,2.0,5.0,6.5,8.0,10.0,14.0
