,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DM_attrs,Acc,6.0,11.0,12.0,13.0,14.0,17.0
1,DM_attrs,Agi,5.0,10.5,13.0,14.0,15.0,18.0
2,DM_attrs,Pac,5.0,10.5,12.0,13.0,14.0,17.5
3,DM_attrs,Wor,5.5,12.0,13.5,14.0,16.0,18.0
4,DM_attrs,Jum,3.0,8.0,11.0,13.0,14.5,18.0
5,DM_attrs,Fir,6.0,11.0,12.0,13.0,15.0,17.0
6,DM_attrs,Dri,1.5,7.5,9.5,11.0,12.0,15.0
7,DM_attrs,Cmp,5.5,10.0,12.0,13.0,14.5,19.0
8,DM_attrs,Sta,4.0,12.0,13.0,14.0,15.0,18.0
9,DM_attrs,Pos,4.5,10.5,12.0,13.0,14.0,17.0
10,DM_attrs,Cnt,3.5,10.0,12.0,13.0,14.0,17.5
11,DM_attrs,Fre,1.5,5.5,7.5,9.5,12.0,17.0
12,DM_attrs,Cor,2.0,5.5,7.0,8.5,10.0,18.0
13,DM_attrs,Fin,0.0,6.0,7.0,8.0,10.5,15.0
14,DM_attrs,OtB,3.5,7.0,9.5,11.0,13.0,17.0
15,DM_attrs,Pas,7.0,12.0,13.0,14.0,16.0,18.0
16,DM_attrs,Tec,5.5,11.5,13.0,14.0,15.0,18.5
17,DM_attrs,Ant,7.5,11.5,13.0,14.0,15.0,17.5
18,DM_attrs,Dec,6.5,12.0,13.0,14.0,15.0,18.0
19,DM_attrs,Lon,2.0,7.0,9.0,11.0,12.0,16.0
20,DM_attrs,Fla,1.0,6.0,9.0,11.5,13.0,17.0
21,DM_attrs,Tck,4.0,10.0,12.0,13.0,14.0,18.0
22,DM_attrs,Hea,2.5,8.0,9.0,10.0,12.0,17.5
23,DM_attrs,Agg,4.5,9.0,11.5,12.5,14.0,19.0
24,DM_attrs,Bra,4.5,9.0,12.0,13.5,16.0,19.0
25,DM_attrs,Bal,6.5,12.0,13.5,14.5,16.0,19.0
26,DM_attrs,Str,4.0,10.0,12.0,13.0,13.5,18.0
27,DM_attrs,Det,2.5,12.0,13.5,14.5,15.5,19.0
28,DM_attrs,Mar,2.5,9.0,10.5,12.0,13.0,16.5
29,DM_attrs,Vis,4.5,10.0,13.0,14.0,15.5,20.0
30,DM_attrs,Tea,8.0,11.0,12.0,14.0,15.0,18.5
31,DM_attrs,Cro,2.0,6.0,7.5,9.0,11.0,18.0
32,DM_attrs,Ldr,1.0,7.5,9.0,11.5,13.5,17.0
33,DM_attrs,Nat,6.0,12.0,13.5,15.0,16.0,18.5
34,DM_attrs,L Th,0.0,4.5,6.0,7.5,9.5,14.5
35,DM_attrs,Pen,0.0,5.5,7.0,8.5,10.0,17.0
36,DM_attrs,Aer,0.0,1.5,2.0,2.5,3.0,4.5
37,DM_attrs,Cmd,0.0,1.5,2.0,2.5,3.0,6.0
38,DM_attrs,Com,0.0,2.0,2.0,2.5,3.0,5.5
39,DM_attrs,Ecc,0.0,1.5,2.0,2.5,3.0,5.5
40,DM_attrs,Han,0.0,1.5,2.0,2.5,3.0,6.0
41,DM_attrs,Kic,0.0,1.5,2.0,2.5,3.0,5.5
42,DM_attrs,Pun,0.0,1.5,2.0,2.5,3.0,5.0
43,DM_attrs,1v1,0.0,1.5,2.0,2.5,3.0,5.5
44,DM_attrs,Ref,0.0,2.0,2.0,2.5,3.5,5.5
45,DM_attrs,TRO,0.0,2.0,2.0,2.5,3.0,4.5
46,DM_attrs,Thr,0.0,1.5,2.0,2.5,3.0,5.0
47,DM_attrs,Age,18.0,21.0,23.0,27.0,31.0,37.0
