,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DC_attrs,Acc,5.0,10.5,12.0,13.0,14.0,18.0
1,DC_attrs,Agi,0.0,11.0,13.0,14.0,15.0,18.5
2,DC_attrs,Pac,5.0,11.0,12.5,13.5,14.5,18.0
3,DC_attrs,Wor,5.5,11.5,13.0,14.0,15.0,18.0
4,DC_attrs,Jum,3.0,12.0,13.5,15.0,16.0,20.0
5,DC_attrs,Fir,5.5,9.0,10.0,11.5,13.0,16.0
6,DC_attrs,Dri,0.0,6.0,7.5,9.0,10.0,16.0
7,DC_attrs,Cmp,0.0,9.0,10.5,12.0,13.0,17.5
8,DC_attrs,Sta,3.0,12.0,13.5,14.5,15.0,18.0
9,DC_attrs,Pos,7.0,12.0,13.0,14.0,15.0,19.0
10,DC_attrs,Cnt,0.0,12.0,13.5,14.0,15.0,18.0
11,DC_attrs,Fre,0.0,4.0,5.0,6.0,7.5,16.0
12,DC_attrs,Cor,0.0,4.5,5.5,6.5,8.0,13.5
13,DC_attrs,Fin,0.0,4.0,6.0,6.5,8.0,11.5
14,DC_attrs,OtB,0.0,6.5,8.0,9.0,10.5,15.0
15,DC_attrs,Pas,5.5,9.0,11.0,12.0,13.0,17.0
16,DC_attrs,Tec,4.5,8.5,11.0,12.0,13.5,17.0
17,DC_attrs,Ant,6.0,11.5,13.0,14.0,15.0,18.0
18,DC_attrs,Dec,6.5,12.0,13.0,14.0,15.0,17.5
19,DC_attrs,Lon,0.0,5.0,7.0,8.0,10.0,14.5
20,DC_attrs,Fla,0.0,5.0,7.0,8.5,10.0,14.5
21,DC_attrs,Tck,8.0,12.0,13.0,14.0,15.0,18.0
22,DC_attrs,Hea,4.5,9.0,11.0,13.0,14.0,17.0
23,DC_attrs,Agg,3.5,9.0,11.0,12.5,14.0,19.0
24,DC_attrs,Bra,0.0,10.5,13.0,14.0,16.5,20.0
25,DC_attrs,Bal,0.0,12.0,13.5,14.5,16.0,19.0
26,DC_attrs,Str,6.0,11.0,12.0,13.0,14.0,18.0
27,DC_attrs,Det,2.5,12.0,13.0,14.5,15.0,20.0
28,DC_attrs,Mar,6.5,12.0,13.0,13.0,14.0,17.0
29,DC_attrs,Vis,0.0,8.0,9.5,11.0,12.5,16.5
30,DC_attrs,Tea,3.5,10.5,12.0,13.0,15.0,19.5
31,DC_attrs,Cro,0.0,5.5,6.5,8.0,9.0,15.0
32,DC_attrs,Ldr,0.0,8.0,10.0,11.5,14.0,17.0
33,DC_attrs,Nat,0.0,11.5,13.5,14.5,15.5,19.0
34,DC_attrs,L Th,0.0,5.5,7.0,8.5,10.5,16.5
35,DC_attrs,Pen,0.0,5.0,6.5,7.5,8.5,16.0
36,DC_attrs,Aer,0.0,1.5,2.0,2.5,3.0,6.0
37,DC_attrs,Cmd,0.0,2.0,2.0,2.5,3.0,5.0
38,DC_attrs,Com,0.0,1.5,2.0,2.5,3.0,5.5
39,DC_attrs,Ecc,0.0,2.0,2.0,2.5,3.0,5.0
40,DC_attrs,Han,0.0,1.5,2.0,2.5,3.0,6.0
41,DC_attrs,Kic,0.0,1.5,2.0,2.5,3.5,5.5
42,DC_attrs,Pun,0.0,1.5,2.0,2.5,3.0,5.0
43,DC_attrs,1v1,0.0,1.5,2.0,2.5,3.5,5.5
44,DC_attrs,Ref,0.0,1.5,2.0,2.5,3.0,5.5
45,DC_attrs,TRO,0.0,1.5,2.0,2.5,3.0,6.0
46,DC_attrs,Thr,0.0,1.5,2.0,2.5,3.0,5.0
47,DC_attrs,Age,19.0,21.0,23.0,26.0,30.0,37.0
