Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
José Ángel Pillado,2000743514,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eneko Aguilar,67297733,0,1,0,0,1,0,0,1,1,0,1,0,0,0
Miguel Prado,67276111,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Juan Jesús Polo,2000194987,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Julio Lizárraga,2000631089,0,1,1,1,0,0,0,0,0,0,0,0,0,0
David Mallor,2000202555,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Rayan Arkine,2000512092,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Amir Ibrahimovic,2000713014,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Abderraman Rebbach,2000053956,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Pierre Martínez,2000201715,0,0,0,0,0,0,0,0,1,0,0,1,1,0
David Guitián,2000048339,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Abdel Soyinkou,2000713015,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Sergio,2000713016,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Erik Aguado,2000025945,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Edu,2000713008,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eneko Magunazelaia,2000741128,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Sicart,2000742072,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Matej Simic,24046632,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ángel Jiménez,2000067577,1,0,0,0,0,0,0,0,0,0,0,0,0,0
