Player,UID,DM,AM,BWM,HB,SV,RGA
José Ángel Pillado,2000743514.0,2.85,1.95,1.95,2.2,2.45,3.15
Eneko Aguilar,67297733.0,10.3,10.5,10.5,11.0,10.0,11.0
Miguel Prado,67276111.0,11.2,11.2,11.2,11.2,11.1,8.4
Juan Jesús Polo,2000194987.0,12.2,12.1,12.1,12.0,10.6,10.0
Julio Lizárraga,2000631089.0,11.9,12.5,12.5,10.1,9.4,6.1
David Mallor,2000202555.0,5.0,5.1,5.1,6.2,6.7,9.15
Rayan Arkine,2000512092.0,3.75,3.65,3.65,4.8,4.65,6.4
Amir Ibrahimovic,2000713014.0,7.35,8.4,8.4,8.25,6.7,4.25
Abderraman Rebbach,2000053956.0,7.0,6.6,6.6,7.0,7.5,10.0
Pierre Martínez,2000201715.0,8.1,8.0,8.0,9.3,8.9,10.5
David Guitián,2000048339.0,5.0,4.1,4.1,5.85,4.95,7.1
Abdel Soyinkou,2000713015.0,11.3,11.75,11.75,10.2,10.05,6.0
Sergio,2000713016.0,4.6,5.7,5.7,5.95,4.45,3.8
Erik Aguado,2000025945.0,5.45,4.85,4.85,6.25,6.15,8.1
Edu,2000713008.0,5.65,7.4,7.4,8.05,5.45,6.3
Eneko Magunazelaia,2000741128.0,9.0,8.9,8.9,8.1,8.45,6.1
Aitor Sicart,2000742072.0,4.85,6.2,6.2,5.8,4.95,5.85
Matej Simic,24046632.0,9.9,10.2,10.2,9.8,10.2,9.2
Ángel Jiménez,2000067577.0,7.0,6.4,6.4,7.5,5.8,6.0
