Player,UID,FB,WB,IWB,CWB,NNFB
José Ángel Pillado,2000743514.0,2.65,1.2,2.25,1.35,2.2
Eneko Aguilar,67297733.0,10.4,9.9,10.3,10.23,9.7
Miguel Prado,67276111.0,12.1,10.0,10.6,9.15,11.8
Juan Jesús Polo,2000194987.0,12.1,10.1,11.5,9.38,11.6
Julio Lizárraga,2000631089.0,11.9,7.8,9.0,7.38,10.0
David Mallor,2000202555.0,6.7,8.15,6.4,9.35,5.4
Rayan Arkine,2000512092.0,5.35,8.15,4.55,8.38,4.25
Amir Ibrahimovic,2000713014.0,7.65,6.9,7.0,7.27,7.2
Abderraman Rebbach,2000053956.0,8.1,8.7,7.7,9.38,6.2
Pierre Martínez,2000201715.0,8.6,9.4,8.7,10.62,8.1
David Guitián,2000048339.0,5.05,7.45,4.3,8.19,5.5
Abdel Soyinkou,2000713015.0,12.1,9.15,9.45,8.58,9.85
Sergio,2000713016.0,7.0,6.65,4.9,6.85,4.85
Erik Aguado,2000025945.0,6.45,7.95,5.85,8.65,5.65
Edu,2000713008.0,6.55,7.0,7.1,7.5,6.3
Eneko Magunazelaia,2000741128.0,8.65,6.45,7.65,7.0,7.55
Aitor Sicart,2000742072.0,6.15,5.1,6.6,6.12,4.45
Matej Simic,24046632.0,9.6,8.3,9.9,8.31,9.7
Ángel Jiménez,2000067577.0,6.8,3.5,5.1,3.85,6.7
