Player,UID,WM,W,DW,IW,IF,WG
José Ángel Pillado,2000743514.0,1.45,1.05,2.05,2.0,2.0,0.88
Eneko Aguilar,67297733.0,10.8,11.2,10.3,11.0,10.5,10.5
Miguel Prado,67276111.0,8.0,8.9,10.8,7.8,7.3,9.42
Juan Jesús Polo,2000194987.0,9.8,9.7,11.1,10.7,9.6,9.92
Julio Lizárraga,2000631089.0,6.8,5.7,10.1,5.9,5.9,7.17
David Mallor,2000202555.0,9.25,11.0,5.8,10.6,10.4,9.92
Rayan Arkine,2000512092.0,8.15,10.3,4.65,8.05,7.75,10.08
Amir Ibrahimovic,2000713014.0,7.0,6.5,7.55,6.35,6.8,6.88
Abderraman Rebbach,2000053956.0,9.8,10.7,7.7,9.7,9.8,10.5
Pierre Martínez,2000201715.0,12.2,12.9,8.7,13.0,12.8,11.92
David Guitián,2000048339.0,8.3,10.1,4.05,9.1,10.2,9.92
Abdel Soyinkou,2000713015.0,8.55,8.35,10.1,7.9,7.9,9.0
Sergio,2000713016.0,5.75,7.4,5.7,4.8,4.9,6.92
Erik Aguado,2000025945.0,9.15,9.9,5.55,9.5,9.7,9.08
Edu,2000713008.0,8.95,8.3,6.4,8.2,6.85,8.12
Eneko Magunazelaia,2000741128.0,7.35,4.95,7.95,6.5,6.5,5.5
Aitor Sicart,2000742072.0,6.25,6.15,5.6,6.3,4.95,6.5
Matej Simic,24046632.0,9.0,7.7,9.6,8.3,7.5,9.0
Ángel Jiménez,2000067577.0,4.2,4.5,5.6,5.0,5.0,5.0
