Player,UID,AF,CF,DLF,F9,P,PF,TM
José Ángel Pillado,2000743514.0,3.05,1.35,2.55,2.1,3.05,1.75,1.45
Eneko Aguilar,67297733.0,10.7,10.8,11.4,11.0,10.7,11.0,10.4
Miguel Prado,67276111.0,9.2,7.1,7.9,6.9,9.2,9.4,8.2
Juan Jesús Polo,2000194987.0,9.9,9.1,9.7,9.3,9.9,11.0,9.5
Julio Lizárraga,2000631089.0,4.8,6.5,5.6,4.0,4.8,8.8,7.8
David Mallor,2000202555.0,11.6,9.5,10.6,11.0,11.6,9.6,8.8
Rayan Arkine,2000512092.0,10.0,8.4,8.3,8.45,10.0,9.4,7.9
Amir Ibrahimovic,2000713014.0,3.75,6.85,3.85,3.15,3.75,8.5,5.95
Abderraman Rebbach,2000053956.0,9.5,8.3,8.3,9.8,9.5,8.4,8.5
Pierre Martínez,2000201715.0,12.5,11.3,12.6,12.8,12.5,12.3,11.0
David Guitián,2000048339.0,10.1,9.55,9.0,8.6,10.1,9.9,8.45
Abdel Soyinkou,2000713015.0,7.45,6.5,6.3,5.85,7.45,9.15,7.8
Sergio,2000713016.0,4.35,5.35,3.2,3.45,4.35,8.5,4.5
Erik Aguado,2000025945.0,9.9,8.4,8.8,9.5,9.9,8.9,7.3
Edu,2000713008.0,5.8,7.7,6.3,7.15,5.8,7.75,7.35
Eneko Magunazelaia,2000741128.0,3.7,5.6,5.9,4.4,3.7,7.15,5.85
Aitor Sicart,2000742072.0,3.0,6.75,4.9,4.8,3.0,6.5,5.55
Matej Simic,24046632.0,6.8,8.4,8.8,8.1,6.8,7.9,9.9
Ángel Jiménez,2000067577.0,5.6,4.1,6.2,4.8,5.6,5.9,5.9
