Player,UID,CD,BPD,NNCB,Lib
José Ángel Pillado,2000743514.0,2.2,2.5,2.2,2.25
Eneko Aguilar,67297733.0,9.1,9.1,8.6,9.9
Miguel Prado,67276111.0,11.4,10.7,11.8,9.5
Juan Jesús Polo,2000194987.0,11.0,10.5,11.0,10.2
Julio Lizárraga,2000631089.0,11.9,11.2,11.0,8.0
David Mallor,2000202555.0,4.7,5.5,4.8,7.5
Rayan Arkine,2000512092.0,3.75,4.75,4.45,4.9
Amir Ibrahimovic,2000713014.0,5.6,5.95,5.45,4.65
Abderraman Rebbach,2000053956.0,6.5,7.6,6.3,7.7
Pierre Martínez,2000201715.0,6.1,7.0,6.6,8.5
David Guitián,2000048339.0,4.1,4.55,5.0,4.6
Abdel Soyinkou,2000713015.0,10.4,9.9,9.5,7.45
Sergio,2000713016.0,3.4,3.75,3.65,3.6
Erik Aguado,2000025945.0,4.45,4.95,4.85,6.35
Edu,2000713008.0,6.45,5.3,5.75,6.85
Eneko Magunazelaia,2000741128.0,7.25,7.9,7.1,6.35
Aitor Sicart,2000742072.0,4.7,5.2,4.3,5.8
Matej Simic,24046632.0,11.5,11.6,11.4,9.8
Ángel Jiménez,2000067577.0,7.6,6.3,7.2,4.6
