Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Kacper Kozłowski,96145145.0,9.17,14.38,13.5,14.67,13.5,13.67,11.0,12.67
Lorenzo Gaetani,2000508210.0,9.67,11.0,10.0,5.83,3.67,9.0,8.0,9.67
Luan Dongsheng,2000434025.0,6.67,13.25,9.5,12.67,9.83,11.33,8.5,10.58
Bjarnólfur Guðbrandsson,2000193662.0,13.0,13.5,12.0,8.67,8.33,11.67,14.5,12.33
Mattia Montanino,2000189328.0,12.0,13.38,14.25,9.33,8.33,11.83,10.5,12.58
Liam Chipperfield,2000014487.0,11.67,11.38,13.25,10.33,10.0,14.67,7.5,12.58
Valentin Antov,22067326.0,14.67,12.88,11.75,10.67,10.0,10.67,15.5,15.58
Tommaso Milanese,43425493.0,13.0,14.25,14.5,14.0,11.83,14.17,10.25,13.5
Umberto Cambi,2000568672.0,10.0,11.0,11.25,6.0,3.67,7.17,7.75,11.5
Andrzej Długołęcki,2000506192.0,5.17,11.38,7.0,5.83,3.83,3.33,9.0,10.67
Antonello Raho,2000323423.0,5.67,15.0,16.5,11.83,9.33,12.17,8.0,12.25
Krzysztof Piątek,96054420.0,7.0,11.0,11.0,9.0,15.67,10.83,12.0,13.25
Marko Bulat,24057489.0,12.0,13.75,12.5,12.67,12.17,13.83,11.75,14.33
Santi Ramos Mingo,14219093.0,13.0,13.38,14.0,10.33,7.83,10.33,15.0,12.58
Edoardo Gasparello,2000568421.0,13.67,15.0,12.0,10.67,7.67,7.67,15.5,13.67
Marco Biagiotti,2000568677.0,7.17,13.5,12.5,7.0,8.33,9.5,6.5,11.5
Stefan Paracampo,2000568674.0,10.67,11.75,12.0,7.33,5.83,8.33,11.5,10.33
Shpend Berisha,2000565103.0,15.0,13.88,13.0,8.33,9.17,11.0,8.5,15.0
Moreno Živković,2000056839.0,14.33,13.75,15.5,8.67,6.5,10.33,12.0,13.67
Jhan Núñez,2000416532.0,5.5,13.62,12.5,12.17,13.17,14.0,11.5,10.75
Troy Parrott,28122837.0,6.83,14.38,14.0,14.0,13.5,14.33,13.5,12.17
Adrián Pérez,2000272935.0,9.5,14.88,12.5,14.33,16.17,15.0,13.5,13.25
Florian Lemmens,2000199446.0,7.83,14.5,12.5,13.17,12.5,12.17,11.0,13.58
Christos Tzolis,36152916.0,8.33,11.25,13.0,13.17,12.33,15.17,6.0,12.17
Edoardo Piana,2000023993.0,3.67,10.62,13.0,6.67,4.0,4.0,7.75,10.42
Rafał Biegański,2000511223.0,6.17,12.0,9.5,7.33,5.0,4.17,7.5,12.58
Simone De Girolamo,2000194919.0,5.83,11.88,10.5,4.5,3.83,3.33,8.5,10.5
Florent Sinani,2000186510.0,5.5,10.5,10.5,4.67,3.83,4.0,7.0,10.08
Leo Greiml,16191211.0,14.0,14.38,14.25,10.67,9.0,10.33,14.0,13.92
Luca Campanile,2000065615.0,12.33,13.62,13.25,9.33,7.67,7.0,6.5,11.92
Elisha Owusu,48036651.0,15.0,14.38,12.5,12.33,10.17,11.67,11.75,14.33
Joshua Zirkzee,37060922.0,7.0,14.25,13.5,14.17,13.67,14.5,14.0,12.5
Lorenzo Montipò,43124226.0,6.5,12.12,10.0,8.5,7.83,6.83,9.75,12.17
Bruno Méndez,78089395.0,14.33,13.75,13.0,9.67,10.17,11.0,13.5,13.83
Melvin Bard,49041157.0,12.0,12.5,13.5,13.17,9.17,12.83,8.0,13.25
