Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Kacper Kozłowski,96145145.0,12.31,12.87,12.28,13.15,13.08,13.29,13.46,13.35,13.62,13.2
Lorenzo Gaetani,2000508210.0,10.66,9.86,9.67,9.73,9.62,9.32,9.52,9.34,9.34,8.56
Luan Dongsheng,2000434025.0,10.43,10.51,10.0,10.75,10.77,10.92,11.23,10.79,11.18,10.48
Bjarnólfur Guðbrandsson,2000193662.0,12.68,12.34,12.76,12.02,12.26,11.55,11.99,11.56,11.85,11.57
Mattia Montanino,2000189328.0,12.65,12.64,12.21,12.62,12.38,12.27,12.29,12.4,12.36,11.7
Liam Chipperfield,2000014487.0,11.77,12.19,11.68,12.25,12.53,12.19,12.56,12.29,12.54,11.84
Valentin Antov,22067326.0,13.68,13.16,13.61,12.77,12.98,12.21,12.65,12.23,12.41,12.23
Tommaso Milanese,43425493.0,13.85,13.58,13.23,13.62,13.69,13.55,13.79,13.61,13.8,13.17
Umberto Cambi,2000568672.0,11.02,9.61,9.51,9.3,9.27,8.67,8.93,8.79,8.9,8.09
Andrzej Długołęcki,2000506192.0,10.32,8.51,8.62,8.12,8.09,7.76,7.97,7.61,7.74,7.25
Antonello Raho,2000323423.0,13.48,12.29,11.32,12.6,11.6,12.9,12.18,13.11,12.6,12.02
Krzysztof Piątek,96054420.0,11.05,10.57,10.39,10.58,10.51,10.8,10.61,10.77,10.89,11.69
Marko Bulat,24057489.0,13.81,13.34,13.14,13.31,13.4,13.26,13.57,13.24,13.51,13.02
Santi Ramos Mingo,14219093.0,12.85,12.57,12.75,12.28,12.19,11.85,11.97,11.97,11.98,11.71
Edoardo Gasparello,2000568421.0,13.46,12.7,13.22,12.26,12.41,11.64,12.03,11.59,11.7,11.55
Marco Biagiotti,2000568677.0,11.0,10.77,9.77,10.99,10.48,10.85,10.74,10.88,10.93,10.14
Stefan Paracampo,2000568674.0,10.82,10.52,10.7,10.37,10.2,9.9,9.86,10.04,9.87,9.71
Shpend Berisha,2000565103.0,13.78,12.93,12.96,12.56,12.95,12.11,12.39,12.21,12.24,11.65
Moreno Živković,2000056839.0,13.95,12.9,13.23,12.48,12.56,11.87,12.04,12.04,12.03,11.56
Jhan Núñez,2000416532.0,11.12,11.16,10.71,11.59,11.22,12.07,11.67,12.11,12.03,12.36
Troy Parrott,28122837.0,12.46,12.6,11.9,12.89,12.49,13.2,12.94,13.31,13.32,13.39
Adrián Pérez,2000272935.0,13.75,13.86,13.6,14.06,13.99,14.24,14.41,14.17,14.41,14.57
Florian Lemmens,2000199446.0,13.0,12.26,11.83,12.33,12.21,12.4,12.47,12.41,12.64,12.42
Christos Tzolis,36152916.0,12.14,11.76,10.98,12.12,11.73,12.4,12.23,12.55,12.5,12.05
Edoardo Piana,2000023993.0,10.35,8.51,8.3,8.39,7.9,8.1,7.92,8.18,8.2,7.71
Rafał Biegański,2000511223.0,12.11,9.5,9.72,9.11,9.12,8.61,8.85,8.53,8.84,8.24
Simone De Girolamo,2000194919.0,10.51,8.96,8.89,8.71,8.39,8.25,8.3,8.32,8.31,7.72
Florent Sinani,2000186510.0,10.68,8.57,8.67,8.2,8.09,7.79,7.9,7.87,7.91,7.41
Leo Greiml,16191211.0,13.85,13.24,13.49,12.93,13.01,12.43,12.69,12.56,12.63,12.28
Luca Campanile,2000065615.0,12.7,12.03,11.75,11.81,11.87,11.28,11.56,11.32,11.51,10.5
Elisha Owusu,48036651.0,14.06,13.58,13.76,13.36,13.59,12.86,13.36,12.83,13.08,12.58
Joshua Zirkzee,37060922.0,12.92,12.46,12.13,12.64,12.19,12.89,12.66,12.97,13.04,13.31
Lorenzo Montipò,43124226.0,12.1,10.2,10.11,9.9,9.62,9.47,9.72,9.47,9.75,9.39
Bruno Méndez,78089395.0,13.57,12.96,13.22,12.72,12.65,12.32,12.42,12.35,12.27,12.17
Melvin Bard,49041157.0,13.04,12.58,12.18,12.65,12.56,12.57,12.61,12.61,12.53,11.74
