Player,UID,Position
Kacper Kozłowski,96145145,M/AM (C)
Lorenzo Gaetani,2000508210,"D (RL), DM, M (R)"
Luan Dongsheng,2000434025,M (LC)
Bjarnólfur Guðbrandsson,2000193662,D (C)
Mattia Montanino,2000189328,D/WB (L)
Liam Chipperfield,2000014487,"DM, M (C)"
Valentin Antov,22067326,"D (C), DM, M (C)"
Tommaso Milanese,43425493,"DM, M/AM (C)"
Umberto Cambi,2000568672,"D (RL), M (R)"
Andrzej Długołęcki,2000506192,GK
Antonello Raho,2000323423,M/AM (R)
Krzysztof Piątek,96054420,ST (C)
Marko Bulat,24057489,"DM, M (C)"
Santi Ramos Mingo,14219093,"D (LC), DM"
Edoardo Gasparello,2000568421,D (RC)
Marco Biagiotti,2000568677,D/WB (L)
Stefan Paracampo,2000568674,D (LC)
Shpend Berisha,2000565103,"DM, M (RC)"
Moreno Živković,2000056839,D (C)
Jhan Núñez,2000416532,ST (C)
Troy Parrott,28122837,"AM (C), ST (C)"
Adrián Pérez,2000272935,ST (C)
Florian Lemmens,2000199446,M/AM (C)
Christos Tzolis,36152916,"M (LC), AM (RL), ST (C)"
Edoardo Piana,2000023993,GK
Rafał Biegański,2000511223,GK
Simone De Girolamo,2000194919,GK
Florent Sinani,2000186510,GK
Leo Greiml,16191211,D (RC)
Luca Campanile,2000065615,"D (RLC), WB (R), DM"
Elisha Owusu,48036651,"D (C), DM, M (C)"
Joshua Zirkzee,37060922,"AM (R), ST (C)"
Lorenzo Montipò,43124226,GK
Bruno Méndez,78089395,D (RC)
Melvin Bard,49041157,"D (LC), WB/AM (L)"
