Player,UID,DM,AM,BWM,HB,SV,RGA
Arnau Tenas,67265794.0,9.25,8.55,8.55,9.95,9.7,10.95
Cristian Manea,57120897.0,12.65,12.7,12.7,12.95,12.65,11.25
Lovre Vujčić,2000188309.0,13.1,13.2,13.2,13.4,12.6,10.2
Jorge Cuenca,67248170.0,13.15,12.75,12.75,13.05,13.3,11.4
Ismael Casas,67271373.0,12.95,12.75,12.75,13.05,13.2,12.1
Ulises Campus,2000273292.0,14.6,14.45,14.45,13.8,13.2,11.4
Iván Martínez,2000510865.0,13.05,13.4,13.4,14.1,13.05,10.75
Serafín,2000512562.0,10.8,10.2,10.2,10.1,11.65,12.75
Moussa Djenepo,6601602.0,9.25,9.2,9.2,9.75,9.55,10.75
Luis Suárez,76046285.0,11.4,11.2,11.2,12.5,11.25,12.9
Jose Luis,2000438355.0,12.85,12.75,12.75,12.45,12.25,14.35
Olmo,2000512864.0,12.5,12.95,12.95,13.1,12.5,11.3
Cristian Rivero,67246343.0,8.6,8.35,8.35,8.9,8.3,8.95
Saúl Salcedo,79026928.0,13.35,13.25,13.25,13.45,13.0,11.8
Eugenio Caínzos,2000630560.0,9.15,9.0,9.0,9.6,10.45,13.0
Antonio Javier García,2000571328.0,11.35,11.05,11.05,11.1,11.25,12.5
Domingo Funcasta,2000510087.0,10.85,11.05,11.05,10.0,9.3,11.15
Alberto Quintana,67280840.0,12.9,13.05,13.05,12.1,12.4,12.7
Jesse Lingard,28047560.0,10.85,11.4,11.4,11.85,11.05,13.0
Denis Vavro,63025710.0,14.15,14.5,14.5,14.2,12.85,10.9
Edimilson Fernandes,98030084.0,11.8,11.6,11.6,11.2,12.05,12.7
Félix,2000192673.0,11.4,11.15,11.15,10.6,11.85,12.95
Antonio Raúl Escuín,2000440594.0,13.55,12.85,12.85,13.05,12.8,11.1
Migue Ortiz,2000630559.0,11.0,10.9,10.9,10.9,11.5,13.0
