Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Arnau Tenas,67265794.0,9.35,9.35,9.35,9.35,7.55,7.55,8.8,8.8,7.83,7.83
Cristian Manea,57120897.0,11.1,11.1,11.1,11.1,11.95,11.95,10.95,10.95,11.88,11.88
Lovre Vujčić,2000188309.0,10.9,10.9,10.9,10.9,11.3,11.3,10.6,10.6,11.75,11.75
Jorge Cuenca,67248170.0,11.5,11.5,11.5,11.5,10.55,10.55,11.15,11.15,11.29,11.29
Ismael Casas,67271373.0,12.5,12.5,12.5,12.5,13.15,13.15,12.25,12.25,12.38,12.38
Ulises Campus,2000273292.0,11.8,11.8,11.8,11.8,10.55,10.55,11.25,11.25,10.71,10.71
Iván Martínez,2000510865.0,11.35,11.35,11.35,11.35,12.05,12.05,11.9,11.9,11.79,11.79
Serafín,2000512562.0,13.35,13.35,13.35,13.35,14.0,14.0,13.25,13.25,13.58,13.58
Moussa Djenepo,6601602.0,11.35,11.35,11.35,11.35,12.85,12.85,11.2,11.2,11.96,11.96
Luis Suárez,76046285.0,13.85,13.85,13.85,13.85,14.4,14.4,14.3,14.3,14.17,14.17
Jose Luis,2000438355.0,14.55,14.55,14.55,14.55,14.0,14.0,14.15,14.15,13.75,13.75
Olmo,2000512864.0,11.85,11.85,11.85,11.85,12.0,12.0,11.35,11.35,11.42,11.42
Cristian Rivero,67246343.0,8.2,8.2,8.2,8.2,7.3,7.3,7.05,7.05,7.33,7.33
Saúl Salcedo,79026928.0,10.85,10.85,10.85,10.85,10.6,10.6,10.8,10.8,11.25,11.25
Eugenio Caínzos,2000630560.0,13.1,13.1,13.1,13.1,12.1,12.1,12.3,12.3,11.33,11.33
Antonio Javier García,2000571328.0,13.5,13.5,13.5,13.5,14.25,14.25,14.05,14.05,13.46,13.46
Domingo Funcasta,2000510087.0,12.6,12.6,12.6,12.6,13.45,13.45,11.9,11.9,13.38,13.38
Alberto Quintana,67280840.0,13.1,13.1,13.1,13.1,11.75,11.75,12.35,12.35,12.29,12.29
Jesse Lingard,28047560.0,13.15,13.15,13.15,13.15,12.75,12.75,13.25,13.25,11.29,11.29
Denis Vavro,63025710.0,10.6,10.6,10.6,10.6,11.0,11.0,10.4,10.4,11.75,11.75
Edimilson Fernandes,98030084.0,12.55,12.55,12.55,12.55,11.75,11.75,12.1,12.1,11.67,11.67
Félix,2000192673.0,13.4,13.4,13.4,13.4,11.95,11.95,12.6,12.6,11.79,11.79
Antonio Raúl Escuín,2000440594.0,10.9,10.9,10.9,10.9,10.75,10.75,10.95,10.95,11.21,11.21
Migue Ortiz,2000630559.0,13.8,13.8,13.8,13.8,12.8,12.8,13.2,13.2,12.0,12.0
