Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Arnau Tenas,67265794.0,11.1,10.0,9.95,10.25,10.85,9.4,9.85,10.4
Cristian Manea,57120897.0,12.05,11.85,12.95,11.85,12.0,11.75,11.2,12.45
Lovre Vujčić,2000188309.0,10.8,9.8,13.4,11.5,11.8,9.7,10.5,12.7
Jorge Cuenca,67248170.0,12.45,11.3,13.05,12.3,12.75,11.25,11.4,13.2
Ismael Casas,67271373.0,12.75,12.5,13.05,13.0,12.85,12.45,12.3,13.3
Ulises Campus,2000273292.0,13.2,11.5,13.8,13.0,13.3,11.35,11.35,13.75
Iván Martínez,2000510865.0,11.7,11.15,14.1,12.65,12.2,11.5,11.15,13.35
Serafín,2000512562.0,12.0,12.4,10.1,12.55,12.2,13.2,14.25,11.55
Moussa Djenepo,6601602.0,10.9,10.95,9.75,10.95,10.9,12.1,12.15,10.05
Luis Suárez,76046285.0,11.75,12.35,12.5,13.2,12.5,13.0,13.6,11.95
Jose Luis,2000438355.0,14.85,13.75,12.45,14.45,14.55,14.7,14.9,13.45
Olmo,2000512864.0,12.15,11.25,13.1,12.5,12.55,11.75,12.4,12.8
Cristian Rivero,67246343.0,10.35,8.9,8.9,8.75,9.7,8.85,8.95,9.65
Saúl Salcedo,79026928.0,11.85,11.65,13.45,12.2,11.7,11.0,11.1,13.1
Eugenio Caínzos,2000630560.0,12.6,12.4,9.6,12.5,12.9,13.45,13.8,11.05
Antonio Javier García,2000571328.0,12.35,12.0,11.1,13.1,12.95,12.7,13.2,11.75
Domingo Funcasta,2000510087.0,11.8,11.1,10.0,11.95,12.0,12.55,12.65,10.9
Alberto Quintana,67280840.0,13.5,12.4,12.1,13.4,13.6,12.65,12.85,13.05
Jesse Lingard,28047560.0,12.55,12.65,11.85,13.7,12.85,12.2,12.4,12.7
Denis Vavro,63025710.0,11.5,10.65,14.2,12.0,11.65,10.35,10.75,12.95
Edimilson Fernandes,98030084.0,12.5,12.5,11.2,12.55,12.5,12.1,12.35,12.25
Félix,2000192673.0,13.0,12.6,10.6,12.65,13.1,13.7,13.55,11.85
Antonio Raúl Escuín,2000440594.0,12.05,11.1,13.05,12.1,12.05,11.15,11.0,13.1
Migue Ortiz,2000630559.0,12.7,12.4,10.9,13.0,13.3,13.5,14.2,12.1
