Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Arnau Tenas,67265794,11.73,9.86,9.86,9.88,9.6,9.6,9.48,9.21,9.21,9.53,9.08,9.08,9.49,8.76
Cristian Manea,57120897,12.82,12.63,12.63,12.52,12.59,12.59,12.32,12.35,12.35,12.17,12.35,12.35,12.16,11.9
Lovre Vujčić,2000188309,12.97,12.55,12.55,12.72,12.27,12.27,12.2,11.7,11.7,11.9,11.86,11.86,11.79,11.46
Jorge Cuenca,67248170,13.18,12.79,12.79,13.07,12.43,12.43,12.53,11.99,11.99,12.26,12.04,12.04,12.1,11.87
Ismael Casas,67271373,13.62,13.03,13.03,12.58,13.1,13.1,12.63,12.9,12.9,12.64,12.99,12.99,12.7,12.06
Ulises Campus,2000273292,13.78,12.96,12.96,13.13,12.56,12.56,12.86,12.04,12.04,12.34,12.06,12.06,12.14,11.58
Iván Martínez,2000510865,13.07,12.65,12.65,12.41,12.66,12.66,12.43,12.46,12.46,12.36,12.47,12.47,12.25,12.07
Serafín,2000512562,12.8,12.93,12.93,12.49,13.31,13.31,12.63,13.44,13.44,13.11,13.66,13.66,13.46,13.13
Moussa Djenepo,6601602,12.39,11.42,11.42,10.55,11.77,11.77,10.96,12.14,12.14,11.54,12.32,12.32,11.9,11.56
Luis Suárez,76046285,13.32,12.59,12.59,11.98,12.85,12.85,12.31,13.16,13.16,12.84,13.32,13.32,13.17,13.54
Jose Luis,2000438355,13.61,13.43,13.43,13.07,13.64,13.64,13.5,13.8,13.8,13.73,13.85,13.85,13.93,13.54
Olmo,2000512864,13.11,12.5,12.5,12.05,12.49,12.49,12.24,12.17,12.17,12.19,12.33,12.33,12.29,11.76
Cristian Rivero,67246343,10.76,8.95,8.95,8.82,8.69,8.69,8.75,8.57,8.57,8.81,8.63,8.63,8.87,8.01
Saúl Salcedo,79026928,12.75,11.89,11.89,12.56,11.38,11.38,11.6,10.86,10.86,11.09,10.74,10.74,10.72,10.98
Eugenio Caínzos,2000630560,11.42,11.35,11.35,10.47,11.83,11.83,11.4,12.13,12.13,12.15,12.2,12.2,12.39,11.5
Antonio Javier García,2000571328,12.68,12.4,12.4,11.58,12.81,12.81,12.15,13.08,13.08,12.7,13.37,13.37,13.11,13.17
Domingo Funcasta,2000510087,12.15,11.96,11.96,11.33,12.23,12.23,11.65,12.55,12.55,12.08,12.77,12.77,12.51,12.27
Alberto Quintana,67280840,12.26,12.41,12.41,12.6,12.33,12.33,12.43,12.16,12.16,12.52,12.21,12.21,12.45,12.19
Jesse Lingard,28047560,10.46,10.16,10.16,9.11,10.51,10.51,10.43,10.83,10.83,10.92,10.78,10.78,10.93,10.29
Denis Vavro,63025710,13.12,12.61,12.61,13.2,12.12,12.12,12.38,11.51,11.51,11.91,11.54,11.54,11.71,11.86
Edimilson Fernandes,98030084,11.27,11.49,11.49,11.43,11.51,11.51,11.61,11.48,11.48,11.72,11.4,11.4,11.56,11.17
Félix,2000192673,11.88,12.22,12.22,11.83,12.36,12.36,12.26,12.49,12.49,12.61,12.51,12.51,12.75,12.31
Antonio Raúl Escuín,2000440594,14.24,13.19,13.19,13.47,12.74,12.74,12.71,12.18,12.18,12.2,12.16,12.16,12.11,11.86
Migue Ortiz,2000630559,12.15,11.99,11.99,11.13,12.32,12.32,12.11,12.56,12.56,12.64,12.67,12.67,12.8,12.21
