Player,UID,AF,CF,DLF,F9,P,PF,TM
José Andrés Velasco,2000573384.0,11.35,11.8,12.05,12.35,11.35,11.35,10.45
Gabriele Ferrara,2000569470.0,10.15,9.25,9.55,9.2,10.15,10.7,9.8
Rino Mercurio,2000569288.0,10.55,10.75,10.95,9.7,10.55,11.6,11.2
Eduardo Montebugnoli,2000511208.0,10.6,10.45,11.6,11.35,10.6,10.2,10.3
Marco Lombardi,2000509497.0,11.9,11.15,12.6,11.85,11.9,11.05,11.15
Stefan Janek,2000508020.0,10.15,8.8,9.95,10.25,10.15,10.65,10.0
Fabiano Cardaci,2000438270.0,11.05,10.4,11.5,11.85,11.05,9.8,10.55
Rémy Bühler,2000434866.0,12.05,11.45,12.1,12.8,12.05,10.95,10.4
Mauro Andreini,2000323661.0,11.8,10.6,12.2,11.8,11.8,10.8,10.55
Silvio Díaz,2000051566.0,12.95,11.45,12.55,12.25,12.95,11.8,11.25
Elia Marra,2000199606.0,10.45,12.2,13.5,12.4,10.45,10.45,11.5
Thomas Pappalardo,2000189557.0,11.45,12.35,13.0,12.2,11.45,11.55,12.05
Dario Gabbianelli,2000569293.0,8.15,6.85,7.15,6.55,8.15,8.55,6.95
Tommaso Bortolin,2000438266.0,10.75,9.0,10.6,9.6,10.75,10.3,9.1
Panagiotis Koupkiolis,2000232960.0,13.3,13.0,13.1,12.1,13.3,12.8,13.1
Giona Cafaro,2000199607.0,10.4,9.65,10.35,10.05,10.4,10.65,11.15
Maximilian Brüll,91206098.0,7.65,6.2,8.4,6.9,7.65,8.15,7.6
Lucas Olaza,78048502.0,10.3,12.55,12.55,13.4,10.3,10.55,12.05
Lucien Agoume,49048461.0,12.05,12.0,12.5,11.95,12.05,12.1,12.45
Colin Dagba,49034905.0,12.4,11.25,12.1,12.2,12.4,12.05,10.8
Alberto Dossena,43202417.0,10.9,9.65,10.85,9.4,10.9,11.25,10.45
Orlando Musso,2000569289.0,13.25,11.0,11.95,11.7,13.25,11.1,11.4
Jacopo Lombardini,2000626005.0,11.7,10.7,11.5,10.5,11.7,11.9,11.7
Nicola Pardini,2000569296.0,9.95,8.5,8.85,7.95,9.95,10.45,9.65
Paolo Gozzi,43372951.0,11.0,10.7,11.4,10.55,11.0,11.55,11.2
Romano Petrelli,2000191146.0,11.65,12.65,14.0,13.6,11.65,12.05,12.05
Miloš Divac,2000482939.0,11.7,12.65,13.3,13.35,11.7,11.45,11.45
Pablo Sierra,2000406688.0,13.95,13.1,13.6,12.8,13.95,13.45,14.55
Stefan Weiss,2000290992.0,11.35,12.7,11.75,11.9,11.35,11.2,11.15
Emerson Hyndman,28084759.0,12.55,12.25,13.4,13.4,12.55,12.05,11.1
M'Bala Nzola,83103196.0,13.8,12.95,13.0,12.15,13.8,14.25,13.5
Héctor Bellerín,28066082.0,12.5,12.45,13.05,13.5,12.5,12.45,12.1
Bozhidar Kraev,22041890.0,12.1,12.0,12.3,12.2,12.1,11.6,11.85
Enrique Lago,2000491309.0,12.2,10.55,11.35,11.5,12.2,12.05,10.6
Jakub Jankto,43207792.0,13.15,12.6,13.1,13.5,13.15,12.3,12.35
Bruno Capela,2000626481.0,8.7,7.4,9.7,7.7,8.7,8.7,6.9
Davide Merelli,43108412.0,8.55,9.25,10.55,8.8,8.55,8.9,9.1
Simone Massi,2000569290.0,10.4,9.8,10.85,10.05,10.4,12.1,11.75
Fabrizio Di Benedetti,2000324218.0,11.7,11.0,12.3,11.35,11.7,11.95,11.8
Marco Fedele,2000626680.0,12.6,12.9,13.3,12.6,12.6,13.0,13.3
Mario Pavan,2000436518.0,11.85,10.75,10.7,10.35,11.85,12.5,10.7
