Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
José Andrés Velasco,2000573384,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Gabriele Ferrara,2000569470,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Rino Mercurio,2000569288,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Eduardo Montebugnoli,2000511208,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Marco Lombardi,2000509497,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Stefan Janek,2000508020,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Fabiano Cardaci,2000438270,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Rémy Bühler,2000434866,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Mauro Andreini,2000323661,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Silvio Díaz,2000051566,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Elia Marra,2000199606,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Thomas Pappalardo,2000189557,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Dario Gabbianelli,2000569293,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Tommaso Bortolin,2000438266,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Panagiotis Koupkiolis,2000232960,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Giona Cafaro,2000199607,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Maximilian Brüll,91206098,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Olaza,78048502,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Lucien Agoume,49048461,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Colin Dagba,49034905,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Alberto Dossena,43202417,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Orlando Musso,2000569289,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Jacopo Lombardini,2000626005,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Nicola Pardini,2000569296,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Paolo Gozzi,43372951,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Romano Petrelli,2000191146,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Miloš Divac,2000482939,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Pablo Sierra,2000406688,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stefan Weiss,2000290992,0,0,0,0,0,0,0,1,0,0,1,1,0,1
Emerson Hyndman,28084759,0,0,0,0,0,1,0,0,1,0,0,1,0,0
M'Bala Nzola,83103196,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Héctor Bellerín,28066082,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bozhidar Kraev,22041890,0,0,0,0,0,0,0,0,1,0,1,1,1,1
Enrique Lago,2000491309,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Jakub Jankto,43207792,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Bruno Capela,2000626481,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Davide Merelli,43108412,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Simone Massi,2000569290,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Fabrizio Di Benedetti,2000324218,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Marco Fedele,2000626680,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mario Pavan,2000436518,0,1,1,1,0,0,0,0,0,0,0,0,0,0
