Player,UID,Position
José Andrés Velasco,2000573384,M/AM (C)
Gabriele Ferrara,2000569470,"M (C), AM (R)"
Rino Mercurio,2000569288,"D (LC), DM"
Eduardo Montebugnoli,2000511208,"M (RC), AM (C)"
Marco Lombardi,2000509497,"M (R), AM (RLC), ST (C)"
Stefan Janek,2000508020,D/M/AM (R)
Fabiano Cardaci,2000438270,"M (LC), AM (L), ST (C)"
Rémy Bühler,2000434866,"M (RC), AM (R)"
Mauro Andreini,2000323661,"M (C), AM (RLC)"
Silvio Díaz,2000051566,"AM (RL), ST (C)"
Elia Marra,2000199606,"M (RC), AM (C)"
Thomas Pappalardo,2000189557,"M (RC), AM (C)"
Dario Gabbianelli,2000569293,D/WB (L)
Tommaso Bortolin,2000438266,D (RLC)
Panagiotis Koupkiolis,2000232960,ST (C)
Giona Cafaro,2000199607,"D (LC), WB (L)"
Maximilian Brüll,91206098,GK
Lucas Olaza,78048502,D/WB (L)
Lucien Agoume,49048461,"DM, M/AM (C)"
Colin Dagba,49034905,"D (RL), WB (R)"
Alberto Dossena,43202417,D (C)
Orlando Musso,2000569289,"AM (R), ST (C)"
Jacopo Lombardini,2000626005,D (LC)
Nicola Pardini,2000569296,D (RC)
Paolo Gozzi,43372951,D (C)
Romano Petrelli,2000191146,"M (RC), AM (R)"
Miloš Divac,2000482939,"M (C), AM (RC)"
Pablo Sierra,2000406688,ST (C)
Stefan Weiss,2000290992,"M (R), AM (RC), ST (C)"
Emerson Hyndman,28084759,"DM, M/AM (C)"
M'Bala Nzola,83103196,"AM (RL), ST (C)"
Héctor Bellerín,28066082,D/WB (R)
Bozhidar Kraev,22041890,"M (C), AM (RLC), ST (C)"
Enrique Lago,2000491309,WB/M/AM (R)
Jakub Jankto,43207792,"M (RLC), AM (RL)"
Bruno Capela,2000626481,GK
Davide Merelli,43108412,GK
Simone Massi,2000569290,"D (RC), WB (R), DM"
Fabrizio Di Benedetti,2000324218,D (RLC)
Marco Fedele,2000626680,M (LC)
Mario Pavan,2000436518,D (RLC)
