Player,UID,AMC,AP,T,SS,AM,EG
José Andrés Velasco,2000573384.0,14.0,14.2,14.0,13.35,13.75,13.5
Gabriele Ferrara,2000569470.0,9.8,10.0,9.8,9.35,9.65,10.7
Rino Mercurio,2000569288.0,11.6,10.9,11.6,9.95,10.15,10.9
Eduardo Montebugnoli,2000511208.0,11.2,12.1,11.2,10.95,11.1,11.95
Marco Lombardi,2000509497.0,11.8,12.5,11.8,11.2,11.7,12.4
Stefan Janek,2000508020.0,10.4,11.1,10.4,9.6,10.0,10.7
Fabiano Cardaci,2000438270.0,10.5,11.2,10.5,11.25,11.3,12.0
Rémy Bühler,2000434866.0,11.7,12.4,11.7,12.3,12.75,13.8
Mauro Andreini,2000323661.0,11.8,12.7,11.8,11.25,11.55,13.1
Silvio Díaz,2000051566.0,12.2,12.6,12.2,12.9,12.5,12.35
Elia Marra,2000199606.0,12.35,12.95,12.35,11.5,12.15,12.3
Thomas Pappalardo,2000189557.0,12.8,12.65,12.8,12.6,12.95,12.75
Dario Gabbianelli,2000569293.0,8.6,8.4,8.6,7.2,7.35,9.35
Tommaso Bortolin,2000438266.0,10.7,10.6,10.7,9.6,10.15,9.45
Panagiotis Koupkiolis,2000232960.0,11.3,11.9,11.3,13.1,12.1,11.8
Giona Cafaro,2000199607.0,11.25,10.65,11.25,10.35,10.7,9.9
Maximilian Brüll,91206098.0,7.05,6.35,7.05,5.75,6.45,5.45
Lucas Olaza,78048502.0,12.95,12.75,12.95,12.9,12.65,12.25
Lucien Agoume,49048461.0,12.55,12.6,12.55,11.9,12.3,12.8
Colin Dagba,49034905.0,12.55,12.35,12.55,11.8,12.05,12.3
Alberto Dossena,43202417.0,10.85,10.15,10.85,9.9,10.15,9.75
Orlando Musso,2000569289.0,11.15,11.95,11.15,12.4,12.0,12.35
Jacopo Lombardini,2000626005.0,11.3,11.1,11.3,10.6,10.7,10.4
Nicola Pardini,2000569296.0,9.7,8.9,9.7,9.25,9.45,8.6
Paolo Gozzi,43372951.0,11.15,10.55,11.15,10.3,10.9,10.35
Romano Petrelli,2000191146.0,13.9,14.35,13.9,12.5,13.65,14.55
Miloš Divac,2000482939.0,13.7,13.9,13.7,13.1,14.0,13.4
Pablo Sierra,2000406688.0,12.65,12.65,12.65,12.65,12.7,13.15
Stefan Weiss,2000290992.0,13.15,14.0,13.15,12.35,13.05,13.4
Emerson Hyndman,28084759.0,14.3,14.3,14.3,13.1,13.7,14.15
M'Bala Nzola,83103196.0,12.4,12.2,12.4,12.5,12.2,12.3
Héctor Bellerín,28066082.0,13.75,13.45,13.75,13.7,13.65,13.35
Bozhidar Kraev,22041890.0,11.9,12.2,11.9,12.25,12.05,12.4
Enrique Lago,2000491309.0,12.3,12.0,12.3,11.5,11.9,11.3
Jakub Jankto,43207792.0,13.0,13.2,13.0,13.0,13.15,13.35
Bruno Capela,2000626481.0,9.4,8.4,9.4,7.5,8.7,7.8
Davide Merelli,43108412.0,10.95,9.85,10.95,9.45,10.15,8.75
Simone Massi,2000569290.0,11.1,10.8,11.1,10.15,10.65,9.8
Fabrizio Di Benedetti,2000324218.0,12.85,11.95,12.85,11.3,11.6,11.05
Marco Fedele,2000626680.0,13.1,13.0,13.1,13.0,13.1,12.9
Mario Pavan,2000436518.0,11.15,10.15,11.15,10.95,11.0,10.05
