Player,UID,Position
Raf Rosseel,2000568334,"D (C), DM, M (C)"
Simone Dondi,2000567839,"AM (RL), ST (C)"
Marcello Criaco,2000567179,"M (L), AM (RL), ST (C)"
Riccardo Gozzi,2000506776,M/AM (RC)
Borja Molina,2000506770,ST (C)
Houssin Diouri,2000506761,"M (RC), AM (R)"
Kenan Mehic,2000506137,M/AM (R)
Marko Čulić,2000505302,M/AM (C)
Jiri Mlynek,2000437872,"AM (RL), ST (C)"
Rodrigo Neves,2000435249,"DM, M (C)"
Claudio Forgione,2000434046,D (R)
Claudio Crippa,2000434044,D (LC)
Christophe Mercier,2000431621,"D (C), WB (L), DM, M (C)"
Lukas Elsik,2000193022,"AM (R), ST (C)"
Alessandro Bertini,2000190822,M/AM (RC)
Fábio Gonçalves,2000189591,"AM (RL), ST (C)"
Jonas Pfaff,2000186472,M/AM (C)
Leonardo Rossi,2000018201,"AM (L), ST (C)"
Mateus Fernandes,83320124,"M (RC), AM (C)"
Jokin Ezkieta,67196201,GK
Mirko Pigliacelli,43061419,GK
Filip Krastev,22073681,"DM, M/AM (C)"
Seppe Welters,18115983,GK
Exequiel Palacios,14110846,"DM, M (C), AM (RC)"
Alberto Serra,2000506756,ST (C)
Oliveira,2000567177,"M/AM (R), ST (C)"
Selahattin Erdoğan,2000512814,M/AM (R)
Mikołaj Wolanski,2000512116,"D (R), DM, M (C)"
Wagner Ricardo,2000506775,"M/AM (C), ST (C)"
Tanaboon Arteaga,2000506774,"D (C), DM, M (C)"
Davide Bosetti,2000506773,M/AM (C)
Nelsón Barrera,2000497901,M/AM (L)
Gaspar Andrade,2000437519,"AM (R), ST (C)"
Dinis Oliveira,2000434809,D (R)
Boubakar Sissako,2000198829,"D (C), DM, M (C)"
Jan Bednarek,96047750,"D (RC), DM"
Anthony Martial,85086702,"M (L), AM (RL), ST (C)"
Fikayo Tomori,28097980,D (RC)
Loris Zunino,2000506778,M (LC)
Benjamín Croce,2000377768,"AM (C), ST (C)"
Héctor Flores,2000285908,"AM (C), ST (C)"
Lisandru Tramoni,49056370,"M (R), AM (RL)"
Egidio Guidi,2000190821,"D (R), DM, M (C)"
Óscar,67228635,M/AM (LC)
Gennaro Bressan,2000506772,"DM, M (C)"
Cristian Carlos Iglesias,2000511849,D/WB/M/AM (L)
Jost Kunz,2000504128,"D (C), DM, M (C)"
Alphonse Areola,85027976,GK
Ronaldo Vieira,29161106,"DM, M (C)"
Davide Calabria,43123020,"D/WB (RL), M (C)"
Alessandro Romanò,2000434040,D (RLC)
Fabinho,19183676,"D (RC), DM, M (C)"
Franck Kessié,13136664,"DM, M (C)"
Lorenzo Di Fusco,2000190824,"AM (L), ST (C)"
Davinson Sánchez,76023027,"D (C), DM"
Batuhan Kör,70131652,"AM (RL), ST (C)"
Wilfried Singo,12078947,D/WB (R)
