Player,UID,CD,BPD,NNCB,Lib
Raf Rosseel,2000568334.0,11.9,11.6,11.65,10.95
Simone Dondi,2000567839.0,8.55,8.3,7.7,9.3
Marcello Criaco,2000567179.0,7.6,8.45,7.5,9.65
Riccardo Gozzi,2000506776.0,10.15,10.95,9.7,11.05
Borja Molina,2000506770.0,9.95,10.0,8.95,9.7
Houssin Diouri,2000506761.0,8.95,9.1,8.95,10.05
Kenan Mehic,2000506137.0,10.35,10.5,10.2,11.0
Marko Čulić,2000505302.0,8.7,9.55,8.9,11.0
Jiri Mlynek,2000437872.0,9.3,10.6,9.75,10.45
Rodrigo Neves,2000435249.0,12.3,12.6,12.5,13.8
Claudio Forgione,2000434046.0,12.35,10.8,11.85,10.85
Claudio Crippa,2000434044.0,12.35,11.0,12.15,8.95
Christophe Mercier,2000431621.0,12.4,12.5,11.7,12.4
Lukas Elsik,2000193022.0,7.75,9.3,8.45,9.75
Alessandro Bertini,2000190822.0,8.75,10.05,8.55,11.2
Fábio Gonçalves,2000189591.0,7.8,7.8,7.4,7.45
Jonas Pfaff,2000186472.0,9.3,10.2,9.05,11.55
Leonardo Rossi,2000018201.0,7.6,8.5,7.45,8.65
Mateus Fernandes,83320124.0,7.9,9.25,8.05,11.25
Jokin Ezkieta,67196201.0,9.2,9.4,9.0,8.5
Mirko Pigliacelli,43061419.0,7.85,8.1,7.75,9.65
Filip Krastev,22073681.0,9.8,10.7,9.4,13.1
Seppe Welters,18115983.0,8.5,7.45,8.4,6.3
Exequiel Palacios,14110846.0,12.2,12.2,12.4,14.1
Alberto Serra,2000506756.0,11.6,11.6,11.1,11.4
Oliveira,2000567177.0,9.6,10.75,9.35,11.05
Selahattin Erdoğan,2000512814.0,10.6,11.3,10.4,12.9
Mikołaj Wolanski,2000512116.0,12.15,11.5,11.95,11.65
Wagner Ricardo,2000506775.0,8.25,8.55,8.25,9.4
Tanaboon Arteaga,2000506774.0,9.7,10.7,9.85,11.15
Davide Bosetti,2000506773.0,11.2,12.2,11.0,13.1
Nelsón Barrera,2000497901.0,7.7,8.25,7.75,9.25
Gaspar Andrade,2000437519.0,7.95,8.8,8.35,9.55
Dinis Oliveira,2000434809.0,12.2,10.8,12.0,10.25
Boubakar Sissako,2000198829.0,12.2,11.9,12.0,11.2
Jan Bednarek,96047750.0,14.25,13.5,14.25,12.15
Anthony Martial,85086702.0,8.9,9.1,8.7,10.2
Fikayo Tomori,28097980.0,14.1,14.0,14.5,12.8
Loris Zunino,2000506778.0,9.65,10.6,9.95,12.25
Benjamín Croce,2000377768.0,10.15,10.9,9.85,12.0
Héctor Flores,2000285908.0,11.6,12.2,11.0,12.8
Lisandru Tramoni,49056370.0,9.8,10.5,9.0,12.1
Egidio Guidi,2000190821.0,13.35,12.6,13.95,11.0
Óscar,67228635.0,10.0,10.2,9.8,11.95
Gennaro Bressan,2000506772.0,13.0,13.7,12.8,13.3
Cristian Carlos Iglesias,2000511849.0,11.1,11.0,11.2,12.1
Jost Kunz,2000504128.0,14.2,13.9,14.0,12.9
Alphonse Areola,85027976.0,10.05,9.55,9.35,10.05
Ronaldo Vieira,29161106.0,11.95,12.3,11.85,13.25
Davide Calabria,43123020.0,12.9,12.5,12.7,13.5
Alessandro Romanò,2000434040.0,14.55,14.3,14.1,14.35
Fabinho,19183676.0,14.3,14.5,14.4,14.8
Franck Kessié,13136664.0,14.5,14.2,14.3,15.0
Lorenzo Di Fusco,2000190824.0,10.45,10.6,10.35,12.05
Davinson Sánchez,76023027.0,13.0,12.7,13.2,12.0
Batuhan Kör,70131652.0,10.65,11.25,10.25,11.85
Wilfried Singo,12078947.0,13.7,13.8,13.9,13.0
