Player,UID,FB,WB,IWB,CWB,NNFB
Raf Rosseel,2000568334.0,11.8,10.3,11.8,10.58,12.05
Simone Dondi,2000567839.0,10.75,11.15,9.8,11.69,9.1
Marcello Criaco,2000567179.0,10.05,11.1,10.3,11.92,9.45
Riccardo Gozzi,2000506776.0,10.35,10.55,10.75,11.27,9.4
Borja Molina,2000506770.0,9.4,9.45,9.1,10.0,8.25
Houssin Diouri,2000506761.0,9.85,10.4,9.7,11.27,9.65
Kenan Mehic,2000506137.0,11.15,11.85,10.5,12.12,10.2
Marko Čulić,2000505302.0,9.65,9.3,10.4,10.73,9.2
Jiri Mlynek,2000437872.0,9.05,9.35,9.25,10.42,8.85
Rodrigo Neves,2000435249.0,12.8,12.1,14.0,13.15,13.6
Claudio Forgione,2000434046.0,12.6,11.15,11.35,10.92,12.45
Claudio Crippa,2000434044.0,11.2,9.45,10.55,9.19,12.25
Christophe Mercier,2000431621.0,12.9,12.1,13.1,12.85,12.3
Lukas Elsik,2000193022.0,9.5,9.6,9.2,10.85,8.45
Alessandro Bertini,2000190822.0,10.35,10.5,11.0,11.38,9.35
Fábio Gonçalves,2000189591.0,9.85,9.7,8.45,10.08,8.4
Jonas Pfaff,2000186472.0,11.0,11.2,11.5,12.04,10.15
Leonardo Rossi,2000018201.0,7.8,8.6,7.2,9.08,6.35
Mateus Fernandes,83320124.0,11.35,11.15,11.45,12.12,9.65
Jokin Ezkieta,67196201.0,9.2,6.85,9.35,7.96,9.2
Mirko Pigliacelli,43061419.0,7.5,5.25,8.95,6.77,7.75
Filip Krastev,22073681.0,12.1,12.4,12.6,13.0,10.5
Seppe Welters,18115983.0,8.4,6.5,7.15,6.12,8.25
Exequiel Palacios,14110846.0,13.3,12.9,14.1,13.31,13.8
Alberto Serra,2000506756.0,12.7,12.2,11.5,12.54,11.4
Oliveira,2000567177.0,10.7,11.75,10.5,12.62,9.25
Selahattin Erdoğan,2000512814.0,13.0,13.5,12.7,13.85,11.7
Mikołaj Wolanski,2000512116.0,13.0,11.55,12.7,11.73,13.35
Wagner Ricardo,2000506775.0,8.7,8.65,9.45,9.88,8.8
Tanaboon Arteaga,2000506774.0,10.4,9.35,11.65,10.42,10.35
Davide Bosetti,2000506773.0,12.3,12.5,12.6,13.46,11.2
Nelsón Barrera,2000497901.0,9.4,10.8,8.95,11.27,8.55
Gaspar Andrade,2000437519.0,9.6,10.0,9.0,10.85,8.95
Dinis Oliveira,2000434809.0,11.8,10.65,10.95,10.38,12.5
Boubakar Sissako,2000198829.0,12.55,10.75,12.4,10.5,12.5
Jan Bednarek,96047750.0,13.8,11.1,13.5,11.23,14.75
Anthony Martial,85086702.0,10.1,9.6,9.8,10.77,9.4
Fikayo Tomori,28097980.0,14.5,12.35,13.8,12.5,14.6
Loris Zunino,2000506778.0,11.8,11.55,12.65,12.23,11.6
Benjamín Croce,2000377768.0,10.8,11.25,11.3,12.31,10.25
Héctor Flores,2000285908.0,13.1,12.7,12.9,13.46,11.5
Lisandru Tramoni,49056370.0,12.3,12.4,12.5,13.0,10.7
Egidio Guidi,2000190821.0,13.2,11.45,12.6,11.46,14.35
Óscar,67228635.0,10.85,10.4,11.35,11.46,10.4
Gennaro Bressan,2000506772.0,14.7,13.9,14.3,13.85,13.6
Cristian Carlos Iglesias,2000511849.0,12.5,13.1,12.0,12.85,11.9
Jost Kunz,2000504128.0,14.9,12.9,14.0,12.77,14.5
Alphonse Areola,85027976.0,10.5,7.3,10.6,8.31,10.1
Ronaldo Vieira,29161106.0,13.2,12.15,13.7,12.5,13.05
Davide Calabria,43123020.0,14.1,13.4,13.4,13.15,13.6
Alessandro Romanò,2000434040.0,15.5,13.75,15.1,13.35,14.75
Fabinho,19183676.0,14.0,12.5,14.7,13.23,14.3
Franck Kessié,13136664.0,15.3,14.3,15.2,14.54,15.5
Lorenzo Di Fusco,2000190824.0,10.4,10.4,11.3,11.46,10.95
Davinson Sánchez,76023027.0,13.1,11.8,12.4,12.08,13.4
Batuhan Kör,70131652.0,11.65,12.05,11.35,12.42,10.25
Wilfried Singo,12078947.0,14.1,14.0,13.4,13.62,13.9
