Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Koldo Valencia,2000663358.0,2.5,11.0,14.5,12.0,1.5,2.0,3.0,2.0
David Krecek,2000569970.0,1.5,14.5,13.0,13.0,1.5,2.0,2.0,2.5
Stefán Þór Jónsson,2000531873.0,2.5,12.0,11.0,12.33,3.0,1.0,3.0,2.5
Álvaro Sánchez,2000685713.0,2.0,12.0,14.0,10.83,2.0,2.0,3.0,2.5
Kian Van Den Bergh,2000632259.0,2.5,12.5,16.0,10.83,2.0,3.0,2.0,2.0
Francesco Zamuner,2000626880.0,2.0,11.75,12.0,13.33,1.5,2.0,3.0,2.0
Roberto van Brakel,2000572868.0,1.0,13.25,15.5,9.5,3.0,2.0,2.5,1.5
Antonio Navarro,2000571902.0,3.0,13.0,14.5,14.0,2.5,1.0,2.5,3.0
Vicente,2000571659.0,1.5,12.75,15.5,10.67,2.5,3.0,2.5,3.0
Felipe,2000510074.0,2.5,15.25,13.0,12.33,2.0,2.0,1.5,2.0
Víctor,2000440738.0,2.0,13.25,12.0,10.83,2.0,3.0,1.0,2.0
Raffaele Russo,2000324450.0,12.5,13.25,11.0,11.17,8.0,9.0,13.0,9.0
Alen Bartolović,2000506471.0,1.5,13.5,14.0,9.0,1.5,2.0,2.0,2.5
Ronald Woudenberg,2000633117.0,11.5,11.0,9.5,10.67,12.0,2.0,14.0,12.0
Agustín Kranevitter,2000612966.0,14.5,12.25,8.0,12.0,10.5,1.0,16.0,12.0
Leandro Alves,2000568887.0,2.0,14.25,14.5,8.83,1.0,1.0,2.0,2.5
Carl Mooney,2000410920.0,1.5,11.5,13.5,10.5,2.5,3.0,3.0,2.0
Gonzalo Cuadros,2000647507.0,3.5,12.0,14.0,10.83,1.5,1.0,1.0,3.0
Buster Juul Vibe,2000566892.0,2.5,14.0,13.5,10.33,2.5,1.0,1.5,1.0
Manuel Bosch,2000514796.0,2.0,13.25,15.5,9.83,1.5,2.0,2.0,2.5
Jannis Emde,2000504247.0,2.5,13.5,13.0,12.67,2.5,3.0,2.0,2.0
Saverio van Lopik,2000437951.0,2.0,11.5,10.0,9.17,1.5,3.0,2.0,1.5
Harald Klingmann,2000504134.0,1.5,13.0,13.0,13.0,2.0,1.0,1.5,2.0
Özgün Karatepe,2000631119.0,2.5,12.75,14.0,14.33,2.0,1.0,3.0,3.0
Matt Bonfield,2000567798.0,1.5,12.5,12.5,13.0,1.5,3.0,2.5,2.0
Mateo Gómez,2000512705.0,1.5,13.5,11.0,12.17,3.0,2.0,1.0,2.0
Agustín Agirre,2000439259.0,2.0,13.25,12.5,13.17,2.0,3.0,3.5,2.0
Scott Diaz,2000706461.0,2.0,11.0,13.5,14.0,2.0,3.0,2.0,3.0
