Player,UID,WM,W,DW,IW,IF,WG
Koldo Valencia,2000663358.0,11.3,12.1,10.0,11.6,11.9,11.17
David Krecek,2000569970.0,10.8,11.5,12.4,10.5,9.8,11.83
Stefán Þór Jónsson,2000531873.0,10.6,9.5,11.8,10.1,9.8,9.92
Álvaro Sánchez,2000685713.0,12.1,12.9,9.3,12.3,11.8,12.17
Kian Van Den Bergh,2000632259.0,12.0,14.1,10.0,11.9,11.4,13.17
Francesco Zamuner,2000626880.0,11.2,10.5,11.1,12.4,12.1,10.33
Roberto van Brakel,2000572868.0,11.6,13.2,9.3,12.8,12.2,12.42
Antonio Navarro,2000571902.0,10.6,11.7,11.0,10.6,10.0,10.83
Vicente,2000571659.0,10.0,11.6,7.7,11.1,10.9,11.08
Felipe,2000510074.0,12.3,14.2,11.5,12.4,12.6,13.83
Víctor,2000440738.0,12.0,12.1,11.0,12.8,12.5,11.75
Raffaele Russo,2000324450.0,7.0,8.4,7.6,8.5,6.6,8.42
Alen Bartolović,2000506471.0,10.4,12.7,8.0,11.9,12.0,12.67
Ronald Woudenberg,2000633117.0,6.6,6.7,7.8,8.5,7.3,6.75
Agustín Kranevitter,2000612966.0,7.2,7.1,8.4,8.9,7.9,7.42
Leandro Alves,2000568887.0,9.0,11.5,7.1,10.6,11.4,11.58
Carl Mooney,2000410920.0,11.4,12.9,9.4,12.4,13.2,12.5
Gonzalo Cuadros,2000647507.0,10.9,11.5,9.2,12.7,12.2,10.83
Buster Juul Vibe,2000566892.0,11.3,12.7,9.0,12.5,12.7,12.25
Manuel Bosch,2000514796.0,11.4,12.3,10.6,12.9,12.5,11.83
Jannis Emde,2000504247.0,10.3,11.8,9.1,12.0,11.5,11.42
Saverio van Lopik,2000437951.0,11.3,10.2,9.2,12.7,12.0,9.92
Harald Klingmann,2000504134.0,10.2,10.4,11.8,10.6,10.4,10.83
Özgün Karatepe,2000631119.0,11.5,11.0,12.7,11.5,11.3,10.92
Matt Bonfield,2000567798.0,10.1,10.8,11.5,10.4,9.6,10.5
Mateo Gómez,2000512705.0,9.4,9.9,10.6,9.2,9.0,10.42
Agustín Agirre,2000439259.0,11.2,11.1,12.1,11.9,11.8,10.92
Scott Diaz,2000706461.0,11.3,10.7,11.0,12.7,12.2,10.75
