Player,UID,AF,CF,DLF,F9,P,PF,TM
Koldo Valencia,2000663358.0,11.8,10.7,10.4,10.8,11.8,11.3,9.4
David Krecek,2000569970.0,11.5,10.1,10.3,9.3,11.5,13.1,11.4
Stefán Þór Jónsson,2000531873.0,9.7,9.4,9.8,8.9,9.7,11.4,10.2
Álvaro Sánchez,2000685713.0,11.7,10.7,12.2,12.8,11.7,11.5,10.9
Kian Van Den Bergh,2000632259.0,13.1,10.8,11.3,12.2,13.1,12.3,11.1
Francesco Zamuner,2000626880.0,11.4,11.5,12.6,12.4,11.4,11.0,11.0
Roberto van Brakel,2000572868.0,12.6,11.8,12.7,12.4,12.6,12.6,11.1
Antonio Navarro,2000571902.0,11.1,8.4,10.2,10.0,11.1,11.1,8.9
Vicente,2000571659.0,12.2,10.2,11.9,11.3,12.2,10.8,10.5
Felipe,2000510074.0,13.7,11.8,11.9,12.1,13.7,13.2,12.4
Víctor,2000440738.0,12.9,12.5,13.5,13.1,12.9,12.0,12.3
Raffaele Russo,2000324450.0,8.3,7.3,9.4,7.9,8.3,9.4,8.0
Alen Bartolović,2000506471.0,13.2,11.1,11.5,11.1,13.2,11.4,11.1
Ronald Woudenberg,2000633117.0,7.8,7.1,8.9,7.8,7.8,8.0,6.8
Agustín Kranevitter,2000612966.0,8.2,7.5,10.2,8.7,8.2,8.2,8.8
Leandro Alves,2000568887.0,13.8,10.2,10.9,10.3,13.8,11.9,11.2
Carl Mooney,2000410920.0,13.2,12.6,12.0,11.6,13.2,13.1,12.8
Gonzalo Cuadros,2000647507.0,12.1,11.1,12.6,12.4,12.1,10.8,10.5
Buster Juul Vibe,2000566892.0,13.7,10.8,11.6,12.4,13.7,11.7,11.5
Manuel Bosch,2000514796.0,12.6,11.7,12.8,11.9,12.6,11.9,11.0
Jannis Emde,2000504247.0,12.4,10.9,12.5,12.2,12.4,10.7,11.3
Saverio van Lopik,2000437951.0,10.8,11.2,12.7,11.9,10.8,10.1,10.5
Harald Klingmann,2000504134.0,11.2,10.3,10.8,9.8,11.2,11.2,10.7
Özgün Karatepe,2000631119.0,12.0,10.1,11.1,10.7,12.0,11.9,10.4
Matt Bonfield,2000567798.0,10.7,8.9,9.7,9.7,10.7,10.2,8.9
Mateo Gómez,2000512705.0,10.3,8.6,9.9,8.9,10.3,10.0,10.2
Agustín Agirre,2000439259.0,11.3,11.0,12.4,11.5,11.3,11.4,11.5
Scott Diaz,2000706461.0,11.9,12.2,13.0,12.5,11.9,11.7,11.4
