Player,UID,Position
Koldo Valencia,2000663358,"M (R), AM (RLC)"
David Krecek,2000569970,D (RC)
Stefán Þór Jónsson,2000531873,D (RLC)
Álvaro Sánchez,2000685713,"M (RC), AM (R)"
Kian Van Den Bergh,2000632259,"M (R), AM (RL), ST (C)"
Francesco Zamuner,2000626880,"D (C), DM, M/AM (C)"
Roberto van Brakel,2000572868,"M (C), AM (R)"
Antonio Navarro,2000571902,"D (LC), WB (L), M (LC), AM (L)"
Vicente,2000571659,"M (LC), AM (C)"
Felipe,2000510074,"M/AM (R), ST (C)"
Víctor,2000440738,"M (C), AM (LC), ST (C)"
Raffaele Russo,2000324450,GK
Alen Bartolović,2000506471,"AM (RC), ST (C)"
Ronald Woudenberg,2000633117,GK
Agustín Kranevitter,2000612966,GK
Leandro Alves,2000568887,"AM (L), ST (C)"
Carl Mooney,2000410920,ST (C)
Gonzalo Cuadros,2000647507,"DM, M/AM (C)"
Buster Juul Vibe,2000566892,"AM (R), ST (C)"
Manuel Bosch,2000514796,M/AM (C)
Jannis Emde,2000504247,"M (C), AM (LC), ST (C)"
Saverio van Lopik,2000437951,"M (RC), AM (C)"
Harald Klingmann,2000504134,"D (LC), DM"
Özgün Karatepe,2000631119,D (RC)
Matt Bonfield,2000567798,D (R)
Mateo Gómez,2000512705,D (C)
Agustín Agirre,2000439259,"D (C), DM, M/AM (C)"
Scott Diaz,2000706461,"DM, M/AM (C)"
