Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Koldo Valencia,2000663358,0,0,0,0,0,0,0,1,0,0,1,1,1,0
David Krecek,2000569970,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Stefán Þór Jónsson,2000531873,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Álvaro Sánchez,2000685713,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Kian Van Den Bergh,2000632259,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Francesco Zamuner,2000626880,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Roberto van Brakel,2000572868,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Antonio Navarro,2000571902,0,0,1,1,0,0,1,0,1,1,0,0,1,0
Vicente,2000571659,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Felipe,2000510074,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Víctor,2000440738,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Raffaele Russo,2000324450,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alen Bartolović,2000506471,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Ronald Woudenberg,2000633117,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustín Kranevitter,2000612966,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Alves,2000568887,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Carl Mooney,2000410920,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gonzalo Cuadros,2000647507,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Buster Juul Vibe,2000566892,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Manuel Bosch,2000514796,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Jannis Emde,2000504247,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Saverio van Lopik,2000437951,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Harald Klingmann,2000504134,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Özgün Karatepe,2000631119,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Matt Bonfield,2000567798,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mateo Gómez,2000512705,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Agustín Agirre,2000439259,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Scott Diaz,2000706461,0,0,0,0,0,1,0,0,1,0,0,1,0,0
