Player,UID,DM,AM,BWM,HB,SV,RGA
Koldo Valencia,2000663358.0,9.6,9.5,9.5,10.6,10.3,10.9
David Krecek,2000569970.0,13.4,14.1,14.1,14.6,12.1,9.2
Stefán Þór Jónsson,2000531873.0,12.8,12.8,12.8,13.2,11.7,9.3
Álvaro Sánchez,2000685713.0,9.5,9.7,9.7,9.4,9.1,10.8
Kian Van Den Bergh,2000632259.0,9.7,10.5,10.5,10.0,9.1,10.4
Francesco Zamuner,2000626880.0,11.2,10.7,10.7,11.8,11.7,11.8
Roberto van Brakel,2000572868.0,9.6,9.5,9.5,9.5,9.8,11.7
Antonio Navarro,2000571902.0,11.6,11.7,11.7,12.2,10.6,10.5
Vicente,2000571659.0,8.2,7.9,7.9,8.8,8.7,10.8
Felipe,2000510074.0,11.7,11.9,11.9,11.7,11.0,11.2
Víctor,2000440738.0,11.0,11.0,11.0,10.7,11.5,12.5
Raffaele Russo,2000324450.0,9.0,9.2,9.2,10.0,7.3,8.2
Alen Bartolović,2000506471.0,8.7,8.5,8.5,8.3,9.0,10.2
Ronald Woudenberg,2000633117.0,9.1,8.2,8.2,9.0,8.0,8.9
Agustín Kranevitter,2000612966.0,9.5,9.0,9.0,10.0,9.0,9.6
Leandro Alves,2000568887.0,8.1,7.6,7.6,8.6,8.4,9.1
Carl Mooney,2000410920.0,10.1,10.6,10.6,9.6,9.9,11.3
Gonzalo Cuadros,2000647507.0,9.1,8.8,8.8,8.9,10.1,11.9
Buster Juul Vibe,2000566892.0,9.2,9.1,9.1,9.0,9.3,10.8
Manuel Bosch,2000514796.0,11.2,10.7,10.7,10.1,11.8,12.7
Jannis Emde,2000504247.0,9.2,9.2,9.2,9.8,9.5,11.0
Saverio van Lopik,2000437951.0,9.5,8.8,8.8,8.8,10.5,12.1
Harald Klingmann,2000504134.0,12.5,12.7,12.7,12.7,12.1,10.1
Özgün Karatepe,2000631119.0,13.4,13.0,13.0,13.5,13.0,10.9
Matt Bonfield,2000567798.0,11.7,11.4,11.4,11.8,11.2,10.4
Mateo Gómez,2000512705.0,11.4,11.1,11.1,11.7,11.0,9.2
Agustín Agirre,2000439259.0,12.9,12.3,12.3,12.8,13.2,12.5
Scott Diaz,2000706461.0,10.9,10.6,10.6,11.6,11.5,12.4
