Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Koldo Valencia,2000663358.0,14.0,15.0,15.0,15.0,6.0,13.0,10.0,10.0,13.0,8.0,9.0,6.0,7.0,12.0,10.0,11.0,15.0,9.0,11.0,8.0,14.0,10.0,7.0,9.0,17.0,10.0,6.0,16.0,5.0,9.0,10.0,10.0,7.0,9.0,6.0,10.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,18.0
David Krecek,2000569970.0,12.0,13.0,14.0,17.0,15.0,8.0,8.0,10.0,16.0,13.0,11.0,7.0,6.0,6.0,6.0,8.0,6.0,13.0,10.0,2.0,4.0,14.0,12.0,18.0,15.0,17.0,12.0,12.0,11.0,13.0,17.0,4.0,8.0,13.0,6.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,20.0
Stefán Þór Jónsson,2000531873.0,11.0,12.0,11.0,14.0,16.0,8.0,7.0,8.0,13.0,10.0,12.0,4.0,6.0,4.0,8.0,10.0,9.0,13.0,12.0,5.0,4.0,17.0,8.0,15.0,13.0,10.0,13.0,12.0,12.0,7.0,12.0,5.0,12.0,13.0,11.0,8.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,20.0
Álvaro Sánchez,2000685713.0,15.0,12.0,13.0,13.0,9.0,16.0,13.0,11.0,11.0,5.0,8.0,12.0,10.0,7.0,9.0,9.0,16.0,9.0,15.0,6.0,9.0,6.0,8.0,13.0,4.0,17.0,8.0,12.0,3.0,12.0,17.0,12.0,6.0,7.0,6.0,7.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,18.0
Kian Van Den Bergh,2000632259.0,16.0,15.0,16.0,13.0,8.0,9.0,17.0,9.0,10.0,4.0,9.0,12.0,8.0,7.0,14.0,11.0,13.0,11.0,9.0,9.0,12.0,10.0,9.0,10.0,7.0,16.0,9.0,12.0,5.0,12.0,17.0,10.0,3.0,14.0,9.0,5.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,19.0
Francesco Zamuner,2000626880.0,13.0,11.0,11.0,12.0,11.0,13.0,9.0,11.0,12.0,11.0,11.0,7.0,6.0,9.0,10.0,13.0,16.0,13.0,14.0,10.0,5.0,11.0,8.0,12.0,18.0,15.0,9.0,15.0,10.0,12.0,9.0,9.0,11.0,13.0,7.0,8.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,19.0
Roberto van Brakel,2000572868.0,16.0,14.0,15.0,14.0,10.0,15.0,9.0,11.0,14.0,4.0,8.0,6.0,8.0,7.0,15.0,10.0,15.0,11.0,12.0,9.0,14.0,6.0,7.0,12.0,4.0,14.0,11.0,11.0,5.0,13.0,11.0,10.0,2.0,18.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,19.0
Antonio Navarro,2000571902.0,16.0,15.0,13.0,12.0,9.0,9.0,8.0,9.0,15.0,12.0,13.0,8.0,5.0,3.0,8.0,9.0,12.0,10.0,14.0,4.0,9.0,9.0,4.0,11.0,17.0,14.0,8.0,15.0,8.0,9.0,15.0,7.0,8.0,16.0,8.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,4.0,20.0
Vicente,2000571659.0,18.0,16.0,13.0,9.0,12.0,15.0,8.0,12.0,11.0,6.0,6.0,8.0,9.0,9.0,12.0,10.0,14.0,8.0,13.0,7.0,13.0,5.0,5.0,9.0,15.0,15.0,9.0,12.0,5.0,11.0,10.0,7.0,12.0,11.0,1.0,6.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,19.0
Felipe,2000510074.0,13.0,15.0,13.0,16.0,13.0,9.0,14.0,11.0,16.0,9.0,12.0,6.0,9.0,11.0,15.0,10.0,12.0,12.0,11.0,9.0,13.0,7.0,11.0,10.0,9.0,17.0,13.0,17.0,8.0,9.0,13.0,12.0,10.0,15.0,10.0,7.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,21.0
Víctor,2000440738.0,13.0,13.0,11.0,9.0,9.0,13.0,13.0,15.0,13.0,10.0,10.0,14.0,11.0,11.0,13.0,14.0,14.0,13.0,12.0,10.0,12.0,10.0,11.0,12.0,5.0,14.0,13.0,13.0,8.0,14.0,12.0,11.0,6.0,15.0,9.0,9.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,22.0
