Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Alfredo Trelles,2000200467,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Wells,2000431769,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Adrián Corral,2000057468,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Luka Jovanović,2000604683,0,0,0,1,1,0,0,1,0,0,1,0,1,0
Mateusz Bogusz,96129140,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Maximilian Mittelstädt,91143714,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Gerardo Gallardo,2000440602,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Henry Onyekuru,18093594,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Toni Dorado,2000197158,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Terry Ashton,2000505936,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Tiago Geralnik,14224252,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Juan Soriano,67193103,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Checa,2000438637,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Toni Martínez,67216151,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luciano Ferreyra,14227040,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Mamadou Loum,83100794,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Timo Baumgartl,92065892,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tarsi Bakero,2000193403,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Cacá,19350725,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Yesinguer Vinasco,2000415655,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Juanmi Ávila,2000441358,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ion Etxabe,2000514435,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nico Mickelson,53138009,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Jose Antonio Molina,2000571459,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Juan Luis,2000664823,0,0,1,1,0,0,0,0,1,0,0,0,0,0
