Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Alfredo Trelles,2000200467.0,11.43,9.14,9.05,8.77,8.77,8.38,8.64,8.28,8.61,7.72
Cameron Wells,2000431769.0,12.98,13.01,12.37,13.18,12.77,12.88,12.74,13.09,12.87,12.06
Adrián Corral,2000057468.0,13.62,13.11,13.48,12.71,12.69,12.03,12.26,12.2,12.23,11.88
Luka Jovanović,2000604683.0,11.28,11.07,10.18,11.59,10.72,11.93,11.11,12.18,11.63,11.12
Mateusz Bogusz,96129140.0,12.75,12.58,11.72,12.91,12.73,13.15,13.11,13.18,13.31,12.78
Maximilian Mittelstädt,91143714.0,11.94,11.97,11.42,12.15,11.93,12.2,12.19,12.29,12.13,11.33
Gerardo Gallardo,2000440602.0,11.18,11.25,10.2,11.85,11.06,12.11,11.58,12.43,12.19,11.63
Henry Onyekuru,18093594.0,11.78,11.05,9.96,11.51,10.91,11.99,11.66,12.16,12.22,12.09
Toni Dorado,2000197158.0,11.89,11.86,11.55,12.09,12.35,12.38,12.88,12.22,12.74,12.36
Terry Ashton,2000505936.0,11.69,11.93,10.66,12.6,11.85,12.96,12.54,13.18,12.9,12.47
Tiago Geralnik,14224252.0,11.48,11.86,11.34,12.24,11.92,12.57,12.58,12.71,12.97,12.64
Juan Soriano,67193103.0,11.67,9.78,9.78,9.46,9.29,9.04,9.37,8.91,9.24,9.1
Checa,2000438637.0,11.63,11.8,11.27,12.07,11.94,12.13,12.55,12.16,12.54,11.69
Toni Martínez,67216151.0,11.89,11.65,11.31,11.76,11.45,11.9,11.69,11.94,11.99,12.27
Luciano Ferreyra,14227040.0,12.55,12.78,12.27,13.1,13.05,13.26,13.31,13.36,13.39,12.79
Mamadou Loum,83100794.0,12.31,11.9,12.22,11.68,11.95,11.3,11.84,11.27,11.57,11.37
Timo Baumgartl,92065892.0,12.19,11.64,12.12,11.21,11.47,10.76,11.08,10.67,10.73,10.66
Tarsi Bakero,2000193403.0,12.98,13.14,13.14,13.02,13.19,12.53,12.85,12.65,12.78,12.11
Cacá,19350725.0,12.85,12.49,12.73,12.23,12.51,11.96,12.26,12.0,12.04,11.98
Yesinguer Vinasco,2000415655.0,11.73,11.67,10.95,12.06,11.65,12.46,12.4,12.46,12.71,12.31
Juanmi Ávila,2000441358.0,11.14,11.18,10.54,11.41,11.13,11.76,11.69,11.78,11.86,12.21
Ion Etxabe,2000514435.0,10.93,10.33,9.28,10.75,10.04,11.12,10.73,11.47,11.31,11.36
Nico Mickelson,53138009.0,11.82,11.83,10.91,12.14,11.39,12.14,11.67,12.37,12.06,11.43
Jose Antonio Molina,2000571459.0,12.39,11.55,11.01,11.8,11.53,12.08,12.22,12.16,12.48,12.0
Juan Luis,2000664823.0,12.77,11.67,11.86,11.23,11.52,10.84,11.02,10.72,10.9,10.59
