Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Alfredo Trelles,2000200467.0,16.0,10.25,10.0,12.83,13.5,1.0,13.5,11.5
Cameron Wells,2000431769.0,2.25,14.25,15.5,12.08,1.75,2.0,1.75,1.75
Adrián Corral,2000057468.0,2.25,13.38,14.75,12.08,2.25,2.0,3.0,2.25
Luka Jovanović,2000604683.0,2.0,13.0,15.0,9.83,1.5,1.0,2.0,3.0
Mateusz Bogusz,96129140.0,1.75,13.38,13.5,13.42,4.0,1.0,3.75,2.5
Maximilian Mittelstädt,91143714.0,2.75,11.5,13.25,12.58,2.25,2.5,2.0,2.0
Gerardo Gallardo,2000440602.0,2.75,11.62,17.0,10.0,2.5,2.5,3.5,3.25
Henry Onyekuru,18093594.0,2.5,12.38,15.0,11.17,2.75,2.5,2.25,2.0
Toni Dorado,2000197158.0,1.75,12.88,10.0,12.25,2.5,1.0,2.25,2.75
Terry Ashton,2000505936.0,1.5,13.0,16.0,12.0,2.0,3.0,3.0,2.5
Tiago Geralnik,14224252.0,2.75,12.12,15.0,9.42,2.5,1.5,2.75,2.0
Juan Soriano,67193103.0,14.5,13.0,7.25,13.33,12.25,15.5,13.5,12.0
Checa,2000438637.0,2.75,12.25,13.5,11.25,2.25,2.0,2.25,2.25
Toni Martínez,67216151.0,2.25,12.75,12.5,13.42,3.0,2.5,2.5,3.25
Luciano Ferreyra,14227040.0,3.5,13.75,14.0,11.42,2.0,2.5,1.75,2.0
Mamadou Loum,83100794.0,2.25,12.25,10.75,13.75,2.25,4.0,3.5,3.5
Timo Baumgartl,92065892.0,2.75,11.12,10.0,12.92,2.25,2.0,2.75,2.25
Tarsi Bakero,2000193403.0,1.5,13.88,14.25,13.08,2.25,3.5,3.0,2.75
Cacá,19350725.0,2.25,12.12,12.25,13.5,2.0,2.0,2.25,3.0
Yesinguer Vinasco,2000415655.0,2.0,13.88,13.0,11.33,3.0,1.5,2.5,1.5
Juanmi Ávila,2000441358.0,1.5,13.12,10.5,11.67,2.75,2.0,3.5,2.5
Ion Etxabe,2000514435.0,3.0,10.62,15.0,10.83,2.5,2.0,3.0,2.5
Nico Mickelson,53138009.0,2.25,12.75,14.0,11.42,2.5,2.5,2.75,1.5
Jose Antonio Molina,2000571459.0,3.25,13.12,12.5,11.33,3.0,3.5,2.0,2.5
Juan Luis,2000664823.0,3.5,11.5,12.0,13.92,2.5,2.5,3.75,2.0
