Player,UID,Position
Alfredo Trelles,2000200467,GK
Cameron Wells,2000431769,"D (RL), WB (L)"
Adrián Corral,2000057468,D (LC)
Luka Jovanović,2000604683,"D (L), WB/M (R), AM (RL)"
Mateusz Bogusz,96129140,M/AM (C)
Maximilian Mittelstädt,91143714,D/WB/M (L)
Gerardo Gallardo,2000440602,M/AM (RC)
Henry Onyekuru,18093594,"M (L), AM (RL), ST (C)"
Toni Dorado,2000197158,"M/AM (C), ST (C)"
Terry Ashton,2000505936,"AM (R), ST (C)"
Tiago Geralnik,14224252,"M (C), AM (LC)"
Juan Soriano,67193103,GK
Checa,2000438637,M (C)
Toni Martínez,67216151,ST (C)
Luciano Ferreyra,14227040,"M (C), AM (LC)"
Mamadou Loum,83100794,"DM, M (C)"
Timo Baumgartl,92065892,D (C)
Tarsi Bakero,2000193403,"D (C), DM, M (C)"
Cacá,19350725,"D (RC), DM"
Yesinguer Vinasco,2000415655,"M/AM (C), ST (C)"
Juanmi Ávila,2000441358,ST (C)
Ion Etxabe,2000514435,ST (C)
Nico Mickelson,53138009,"D (RL), WB (R)"
Jose Antonio Molina,2000571459,"AM (RC), ST (C)"
Juan Luis,2000664823,"D (LC), M (C)"
