Player,UID,CD,BPD,NNCB,Lib
Alfredo Trelles,2000200467.0,8.6,7.6,8.75,7.15
Cameron Wells,2000431769.0,11.05,11.35,11.2,12.35
Adrián Corral,2000057468.0,13.55,13.35,13.1,12.3
Luka Jovanović,2000604683.0,8.0,8.8,8.1,9.6
Mateusz Bogusz,96129140.0,10.7,10.8,10.8,12.55
Maximilian Mittelstädt,91143714.0,11.1,11.05,10.85,12.15
Gerardo Gallardo,2000440602.0,7.5,8.7,7.55,10.75
Henry Onyekuru,18093594.0,7.9,8.55,8.3,10.15
Toni Dorado,2000197158.0,10.0,11.0,10.1,12.55
Terry Ashton,2000505936.0,8.9,9.3,8.8,10.7
Tiago Geralnik,14224252.0,8.1,9.5,7.8,10.9
Juan Soriano,67193103.0,10.35,9.3,9.8,8.7
Checa,2000438637.0,9.5,10.9,9.4,12.1
Toni Martínez,67216151.0,11.65,11.5,11.6,11.4
Luciano Ferreyra,14227040.0,10.75,11.5,10.45,13.5
Mamadou Loum,83100794.0,13.45,13.25,13.1,12.55
Timo Baumgartl,92065892.0,12.9,12.5,12.2,11.3
Tarsi Bakero,2000193403.0,13.75,13.65,13.0,13.4
Cacá,19350725.0,13.9,13.5,13.75,12.65
Yesinguer Vinasco,2000415655.0,8.85,9.6,8.45,10.9
Juanmi Ávila,2000441358.0,9.9,9.7,8.75,9.85
Ion Etxabe,2000514435.0,7.2,7.65,7.6,9.05
Nico Mickelson,53138009.0,9.95,9.9,9.15,11.05
Jose Antonio Molina,2000571459.0,8.4,8.75,8.4,10.85
Juan Luis,2000664823.0,12.9,11.3,12.5,10.15
