Player,UID,AF,CF,DLF,F9,P,PF,TM
Vito Finetti,2000626436.0,11.1,12.0,13.9,12.9,11.1,10.4,11.2
Marco Cuneo,2000572664.0,9.0,8.1,7.6,8.05,9.0,9.1,7.5
Francesco Oliva,2000512151.0,9.75,9.05,10.7,9.85,9.75,9.9,9.0
Alessandro Ottaviano,2000512150.0,10.3,9.2,9.8,8.9,10.3,10.6,10.0
Nicolas Balestracci,2000507375.0,8.3,7.7,8.7,8.2,8.3,9.6,7.8
Łukasz Łęgowski,2000055738.0,6.35,4.65,6.15,5.9,6.35,6.3,6.0
Mateusz Kochalski,96115206.0,8.2,8.8,9.4,7.75,8.2,9.0,9.85
Lorenzo Libutti,43204023.0,10.65,10.6,11.4,11.15,10.65,10.8,10.55
Diferdio Misidjan,37084985.0,11.9,9.35,10.35,10.15,11.9,11.25,9.15
Fabiano De Nadai,2000573667.0,10.6,10.6,12.0,11.2,10.6,10.1,11.05
Francesco Sibilia,2000512153.0,11.9,9.65,10.5,10.55,11.9,10.5,9.7
Giuseppe Rossetti,2000511011.0,10.1,8.75,9.65,8.95,10.1,10.2,10.25
Corrado Redaelli,2000507385.0,13.0,11.4,12.6,12.35,13.0,11.75,11.55
Filippo Bertini,2000324892.0,10.9,9.9,10.7,10.3,10.9,11.3,10.5
Aniello Zampella,2000199610.0,11.0,11.3,11.95,10.55,11.0,10.1,12.1
Loris Sebert,2000025939.0,10.15,10.15,10.4,10.25,10.15,10.7,10.8
Giordano Rossi,2000021846.0,10.7,11.5,12.0,11.3,10.7,10.95,9.75
Diego Zuppel,43426148.0,11.45,10.95,11.25,10.25,11.45,11.9,12.05
Manolo Portanova,43297054.0,11.1,11.15,11.05,10.7,11.1,12.05,11.5
Adam Maher,37012969.0,9.9,11.65,12.75,13.2,9.9,8.95,10.6
Carlo Schettino,2000567623.0,12.4,9.7,10.55,10.25,12.4,12.65,9.8
Daan Reiziger,37071194.0,9.1,7.45,9.1,7.75,9.1,8.85,8.2
Frane Križmanić,2000433152.0,10.95,10.2,11.25,10.2,10.95,10.6,9.8
Filip Vasko,43322583.0,9.55,9.2,9.55,8.5,9.55,10.8,11.0
Raoul Petretta,98041022.0,10.95,10.55,11.25,10.95,10.95,11.3,10.35
Pedro Pelágio,83259120.0,11.65,11.55,11.85,11.7,11.65,11.7,11.7
Samuele Bonaldo,2000325145.0,12.4,10.2,11.7,11.9,12.4,11.5,10.55
Emiliano Sacco,2000324227.0,12.75,10.85,12.1,12.15,12.75,11.4,10.7
Dario Manicone,2000323773.0,13.6,11.6,12.5,12.4,13.6,11.8,11.85
Näis Djouahra,49037903.0,11.85,10.1,11.5,11.95,11.85,10.7,9.35
Yari Diamanti,2000572662.0,12.3,11.5,12.1,11.9,12.3,11.8,11.6
Ruben Bank,2000711214.0,12.8,10.1,11.3,12.0,12.8,11.1,10.6
Luka Bogdan,16149835.0,9.5,10.25,10.9,9.3,9.5,11.15,11.1
Noah Loosli,98034469.0,10.45,10.55,10.95,9.55,10.45,11.45,11.25
