Player,UID,Position
Vito Finetti,2000626436,"DM, M (LC)"
Marco Cuneo,2000572664,"M (C), AM (L), ST (C)"
Francesco Oliva,2000512151,"D (C), DM, M (C)"
Alessandro Ottaviano,2000512150,"WB (R), M/AM (C)"
Nicolas Balestracci,2000507375,"D (RL), WB (L)"
Łukasz Łęgowski,2000055738,GK
Mateusz Kochalski,96115206,GK
Lorenzo Libutti,43204023,D/WB (R)
Diferdio Misidjan,37084985,"D/WB (RL), AM (L)"
Fabiano De Nadai,2000573667,M/AM (C)
Francesco Sibilia,2000512153,"AM (R), ST (C)"
Giuseppe Rossetti,2000511011,D (LC)
Corrado Redaelli,2000507385,M/AM (L)
Filippo Bertini,2000324892,"M (RC), AM (R)"
Aniello Zampella,2000199610,"AM (C), ST (C)"
Loris Sebert,2000025939,"D (RC), DM"
Giordano Rossi,2000021846,M/AM (C)
Diego Zuppel,43426148,ST (C)
Manolo Portanova,43297054,"DM, M (C), AM (LC)"
Adam Maher,37012969,"DM, M/AM (C)"
Carlo Schettino,2000567623,D (RLC)
Daan Reiziger,37071194,GK
Frane Križmanić,2000433152,"D (C), DM, M (C)"
Filip Vasko,43322583,D (C)
Raoul Petretta,98041022,D/WB/M (L)
Pedro Pelágio,83259120,"DM, M (C)"
Samuele Bonaldo,2000325145,"M (C), AM (RLC)"
Emiliano Sacco,2000324227,"M (C), AM (RLC)"
Dario Manicone,2000323773,"AM (R), ST (C)"
Näis Djouahra,49037903,"M (L), AM (LC)"
Yari Diamanti,2000572662,"AM (RL), ST (C)"
Ruben Bank,2000711214,"M/AM (R), ST (C)"
Luka Bogdan,16149835,"D (C), DM"
Noah Loosli,98034469,D (C)
