Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Vito Finetti,2000626436.0,11.48,11.52,10.98,11.68,11.79,11.55,12.01,11.43,11.81,10.88
Marco Cuneo,2000572664.0,7.78,7.84,6.62,8.54,7.3,9.14,8.31,9.49,8.94,8.78
Francesco Oliva,2000512151.0,10.39,10.06,9.69,10.07,10.18,9.96,10.37,9.96,10.23,9.3
Alessandro Ottaviano,2000512150.0,9.2,9.8,9.68,9.93,9.66,9.82,9.68,10.07,9.81,10.06
Nicolas Balestracci,2000507375.0,11.49,10.33,10.19,10.06,9.91,9.52,9.55,9.64,9.6,8.7
Łukasz Łęgowski,2000055738.0,8.88,7.3,7.36,7.19,6.89,6.96,6.76,7.01,7.02,6.55
Mateusz Kochalski,96115206.0,11.38,9.65,9.92,9.28,9.21,8.99,9.26,8.8,9.01,9.0
Lorenzo Libutti,43204023.0,11.4,11.25,11.16,11.22,11.18,11.12,11.16,11.11,11.01,10.67
Diferdio Misidjan,37084985.0,11.28,11.19,10.57,11.35,10.89,11.07,10.98,11.38,11.28,10.71
Fabiano De Nadai,2000573667.0,9.69,9.83,9.72,10.01,9.87,10.01,10.08,10.09,10.04,10.07
Francesco Sibilia,2000512153.0,9.7,9.55,8.69,10.09,9.29,10.38,9.75,10.67,10.29,10.32
Giuseppe Rossetti,2000511011.0,11.58,11.02,11.33,10.66,10.72,10.21,10.3,10.26,10.22,9.91
Corrado Redaelli,2000507385.0,11.57,11.58,10.84,11.99,11.31,12.31,11.82,12.6,12.23,12.06
Filippo Bertini,2000324892.0,9.75,9.98,9.28,10.46,9.64,10.61,10.22,10.83,10.54,10.38
Aniello Zampella,2000199610.0,10.32,9.99,9.74,10.04,9.83,10.3,10.24,10.29,10.37,10.8
Loris Sebert,2000025939.0,11.41,11.23,11.39,11.04,10.87,10.7,10.73,10.66,10.59,10.49
Giordano Rossi,2000021846.0,10.95,10.98,10.27,11.22,11.19,11.36,11.75,11.46,11.86,10.71
Diego Zuppel,43426148.0,11.78,11.14,11.07,11.09,10.8,10.95,10.84,11.01,11.05,11.44
Manolo Portanova,43297054.0,10.75,11.05,10.84,11.15,11.09,11.05,11.1,11.16,11.15,11.03
Adam Maher,37012969.0,9.34,9.11,8.62,9.35,9.77,10.03,10.21,9.69,10.13,9.72
Carlo Schettino,2000567623.0,12.86,12.03,11.37,12.02,11.51,11.81,11.52,12.05,11.68,11.21
Daan Reiziger,37071194.0,10.95,9.58,8.99,9.57,9.12,9.39,9.35,9.47,9.62,8.71
Frane Križmanić,2000433152.0,12.72,11.95,11.92,11.71,11.99,11.29,11.73,11.38,11.61,10.88
Filip Vasko,43322583.0,12.51,11.31,11.94,10.64,10.94,10.09,10.49,10.04,10.22,10.21
Raoul Petretta,98041022.0,11.68,11.55,11.31,11.56,11.44,11.28,11.41,11.32,11.27,10.74
Pedro Pelágio,83259120.0,11.53,11.63,11.57,11.69,11.7,11.65,11.69,11.65,11.71,11.62
Samuele Bonaldo,2000325145.0,11.17,11.08,10.59,11.51,10.79,11.64,11.22,11.9,11.68,11.41
Emiliano Sacco,2000324227.0,10.6,10.87,10.01,11.35,10.89,11.75,11.26,11.94,11.7,11.28
Dario Manicone,2000323773.0,11.4,11.64,11.06,11.96,11.33,12.18,11.81,12.48,12.3,12.45
Näis Djouahra,49037903.0,11.02,10.9,10.19,11.31,10.76,11.49,11.2,11.68,11.39,10.8
Yari Diamanti,2000572662.0,12.14,11.46,10.9,11.67,11.13,11.94,11.56,12.02,11.83,11.72
Ruben Bank,2000711214.0,11.17,11.02,10.23,11.52,10.49,11.81,10.96,12.07,11.55,11.38
Luka Bogdan,16149835.0,12.11,11.39,11.9,10.9,11.24,10.48,10.96,10.31,10.57,10.3
Noah Loosli,98034469.0,12.03,11.37,11.77,11.05,11.1,10.45,10.81,10.47,10.62,10.7
