Player,UID,CD,BPD,NNCB,Lib
Vito Finetti,2000626436.0,10.7,11.5,10.3,13.0
Marco Cuneo,2000572664.0,4.3,4.7,4.4,4.95
Francesco Oliva,2000512151.0,7.95,8.05,7.95,8.35
Alessandro Ottaviano,2000512150.0,9.7,10.2,10.3,9.0
Nicolas Balestracci,2000507375.0,10.5,8.9,10.0,8.9
Łukasz Łęgowski,2000055738.0,6.1,5.9,6.2,4.95
Mateusz Kochalski,96115206.0,10.4,9.9,9.8,8.05
Lorenzo Libutti,43204023.0,11.65,11.45,11.55,11.6
Diferdio Misidjan,37084985.0,9.8,9.75,10.1,10.7
Fabiano De Nadai,2000573667.0,9.65,10.05,9.45,9.9
Francesco Sibilia,2000512153.0,7.1,7.5,7.5,7.85
Giuseppe Rossetti,2000511011.0,12.2,11.25,11.45,10.15
Corrado Redaelli,2000507385.0,8.75,9.65,8.4,9.95
Filippo Bertini,2000324892.0,7.5,8.6,8.3,7.9
Aniello Zampella,2000199610.0,9.65,9.7,9.2,8.45
Loris Sebert,2000025939.0,12.2,11.8,12.3,11.0
Giordano Rossi,2000021846.0,7.8,9.2,8.25,10.65
Diego Zuppel,43426148.0,11.25,10.6,11.25,9.55
Manolo Portanova,43297054.0,11.1,10.9,10.65,10.75
Adam Maher,37012969.0,8.2,9.15,8.4,11.5
Carlo Schettino,2000567623.0,11.3,10.05,11.7,10.3
Daan Reiziger,37071194.0,7.8,8.3,7.75,8.3
Frane Križmanić,2000433152.0,11.75,11.55,11.4,11.75
Filip Vasko,43322583.0,13.45,11.75,12.95,10.25
Raoul Petretta,98041022.0,11.6,11.4,11.25,12.05
Pedro Pelágio,83259120.0,11.2,11.6,11.3,11.65
Samuele Bonaldo,2000325145.0,8.45,9.3,8.95,9.85
Emiliano Sacco,2000324227.0,7.8,9.1,8.2,9.95
Dario Manicone,2000323773.0,8.75,10.2,9.35,10.15
Näis Djouahra,49037903.0,8.1,8.45,8.2,9.7
Yari Diamanti,2000572662.0,10.3,9.8,9.8,10.1
Ruben Bank,2000711214.0,8.3,8.8,8.3,9.3
Luka Bogdan,16149835.0,13.2,12.15,13.2,10.95
Noah Loosli,98034469.0,12.75,12.1,12.9,10.8
